run_id,provider,model,strategy,n_tasks,n_strategies,n_cells,trials,correct_rate,mean_wall_s,mean_tokens,mean_prompt_tokens,mean_completion_tokens,mean_estimated_usd,wasted_rate,stalls_per_trial,fp_stalls_per_trial,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_search_events,mean_coord_events,mean_tokens_per_agent_turn
grid-v1,openai,gpt-5-mini,ast_dep,8,1,8,40,0.425,62.1,96822.0,91063.0,5759.0,0.0343,0.013,0.75,0.0,33.6,33.6,33.38,16.6,5.58,3.42,5.5,2013.0
grid-v1,openai,gpt-5-mini,ast_scope,8,1,8,40,0.375,62.7,106045.0,99377.0,6668.0,0.0382,0.01,0.3,0.0,36.28,36.28,36.17,18.1,5.88,3.95,5.35,2077.0
grid-v1,openai,gpt-5-mini,file_lock,8,1,8,40,0.9,178.8,96871.0,92707.0,4164.0,0.0315,0.001,21.325,0.125,40.25,40.25,40.1,24.45,3.85,3.78,21.32,1860.0
grid-v1,openai,gpt-5-mini,git_hash,8,1,8,40,0.725,62.7,95747.0,88755.0,6992.0,0.0362,0.047,0.7,0.0,35.95,35.95,35.7,17.85,5.88,3.95,0.92,2151.0
grid-v1,openai,gpt-5-mini,naive,8,1,8,40,0.425,62.4,96354.0,90098.0,6256.0,0.035,0.009,0.0,0.0,33.88,33.88,33.78,16.77,5.25,3.78,0.0,2021.0
grid-v1,openai,gpt-5-mini,notify,8,1,8,40,0.625,59.3,95120.0,89119.0,6001.0,0.0343,0.006,0.0,0.0,34.8,34.8,34.58,18.52,5.0,3.02,4.58,2146.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,ast_dep,8,1,8,24,0.542,199.9,67151.0,64865.0,2285.0,0.0023,0.016,0.5,0.0,20.08,20.08,29.38,15.62,4.88,1.5,4.38,2726.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,ast_scope,8,1,8,24,0.5,174.4,69823.0,67556.0,2267.0,0.0024,0.016,0.333,0.0,21.29,21.29,30.54,15.58,4.83,2.92,3.58,2667.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,file_lock,8,1,8,24,0.875,312.5,83586.0,81211.0,2374.0,0.0028,0.012,14.417,0.208,26.5,26.33,37.88,20.0,4.58,5.12,14.42,2610.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,git_hash,8,1,8,24,0.708,224.9,77169.0,74577.0,2592.0,0.0026,0.037,0.583,0.25,22.38,22.38,32.0,16.62,5.83,2.38,0.79,2881.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,naive,8,1,8,24,0.667,185.9,71141.0,68841.0,2300.0,0.0024,0.01,0.0,0.0,20.79,20.79,28.92,14.42,4.88,2.67,0.0,2666.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,notify,8,1,8,24,0.875,217.9,80371.0,78087.0,2284.0,0.0027,0.003,0.0,0.0,22.33,22.33,31.04,16.67,4.88,2.29,3.83,2806.0
