run_id,provider,model,task,strategy,n_agents,n_tasks,n_strategies,n_cells,trials,correct_rate,mean_wall_s,mean_tokens,mean_prompt_tokens,mean_completion_tokens,mean_estimated_usd,wasted_rate,stalls_per_trial,fp_stalls_per_trial,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_search_events,mean_coord_events,mean_tokens_per_agent_turn
grid-v1,openai,gpt-5-mini,rw_d_tag_antidependency,ast_dep,2,1,1,1,5,0.4,41.8,76176.0,73208.0,2967.0,0.0242,0.0,0.0,0.0,26.4,26.4,26.0,13.6,3.4,3.8,2.0,2842.0
grid-v1,openai,gpt-5-mini,rw_d_tag_antidependency,ast_scope,2,1,1,1,5,0.0,35.6,66616.0,63512.0,3105.0,0.0221,0.0,0.0,0.0,23.8,23.8,23.8,13.8,3.0,2.4,1.8,2790.0
grid-v1,openai,gpt-5-mini,rw_d_tag_antidependency,file_lock,2,1,1,1,5,1.0,89.7,82152.0,79446.0,2706.0,0.0253,0.005,6.6,0.0,29.0,29.0,28.8,17.8,3.2,2.8,6.6,2755.0
grid-v1,openai,gpt-5-mini,rw_d_tag_antidependency,git_hash,2,1,1,1,5,0.6,29.0,66888.0,64605.0,2283.0,0.0207,0.0,0.0,0.0,24.2,24.2,23.6,13.2,3.0,2.2,0.0,2754.0
grid-v1,openai,gpt-5-mini,rw_d_tag_antidependency,naive,2,1,1,1,5,0.2,45.7,66644.0,64262.0,2383.0,0.0208,0.0,0.0,0.0,23.6,23.6,23.6,12.6,3.4,2.2,0.0,2708.0
grid-v1,openai,gpt-5-mini,rw_d_tag_antidependency,notify,2,1,1,1,5,1.0,46.0,87757.0,84189.0,3567.0,0.0282,0.0,0.0,0.0,26.4,26.4,25.6,15.0,3.4,2.2,1.6,3293.0
grid-v1,openai,gpt-5-mini,rw_e_cascade,ast_dep,3,1,1,1,5,0.0,171.5,446977.0,428424.0,18553.0,0.1442,0.02,0.4,0.0,85.8,85.8,85.4,44.2,16.4,12.2,16.4,5178.0
grid-v1,openai,gpt-5-mini,rw_e_cascade,ast_scope,3,1,1,1,5,0.0,160.9,459263.0,438563.0,20699.0,0.151,0.016,0.0,0.0,86.0,86.0,85.8,45.4,16.0,11.0,12.8,5227.0
grid-v1,openai,gpt-5-mini,rw_e_cascade,file_lock,3,1,1,1,5,0.6,477.9,379415.0,369443.0,9972.0,0.1123,0.005,61.6,0.0,96.2,96.2,96.0,65.6,9.8,9.8,61.6,3904.0
grid-v1,openai,gpt-5-mini,rw_e_cascade,git_hash,3,1,1,1,5,0.0,141.6,345894.0,329406.0,16488.0,0.1153,0.0,0.0,0.0,75.6,75.6,74.8,38.6,12.8,12.4,0.2,4458.0
grid-v1,openai,gpt-5-mini,rw_e_cascade,naive,3,1,1,1,5,0.0,209.0,442463.0,422293.0,20171.0,0.1459,0.004,0.0,0.0,84.4,84.4,84.4,44.0,15.2,11.6,0.0,5194.0
