task,strategy,n_agents,baseline_run_id,baseline_provider,baseline_model,compare_run_id,compare_provider,compare_model,baseline_trials,compare_trials,baseline_cells,compare_cells,compare_correct_rate,compare_mean_wall_s,compare_mean_tokens,compare_mean_prompt_tokens,compare_mean_completion_tokens,compare_wasted_rate,compare_stalls_per_trial,compare_fp_stalls_per_trial,baseline_correct_rate,baseline_mean_wall_s,baseline_mean_tokens,baseline_mean_prompt_tokens,baseline_mean_completion_tokens,baseline_wasted_rate,baseline_stalls_per_trial,baseline_fp_stalls_per_trial,delta_correct_rate,delta_mean_wall_s,delta_mean_tokens,delta_mean_prompt_tokens,delta_mean_completion_tokens,delta_wasted_rate,delta_stalls_per_trial,delta_fp_stalls_per_trial
rw_d_tag_antidependency,ast_dep,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,174.7,42220.0,40791.0,1429.0,0.0,0.0,0.0,0.4,41.8,76176.0,73208.0,2967.0,0.0,0.0,0.0,0.267,-132.9,33956.0,32417.0,1538.0,-0.0,-0.0,-0.0
rw_d_tag_antidependency,ast_scope,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.0,185.0,50966.0,49580.0,1386.0,0.0,0.0,0.0,0.0,35.6,66616.0,63512.0,3105.0,0.0,0.0,0.0,0.0,-149.4,15650.0,13932.0,1719.0,-0.0,-0.0,-0.0
rw_d_tag_antidependency,file_lock,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,270.8,67872.0,66204.0,1668.0,0.0,2.667,0.0,1.0,89.7,82152.0,79446.0,2706.0,0.005,6.6,0.0,0.0,-181.1,14280.0,13242.0,1038.0,0.005,3.933,-0.0
rw_d_tag_antidependency,git_hash,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.0,204.5,56017.0,54415.0,1602.0,0.0,0.0,0.0,0.6,29.0,66888.0,64605.0,2283.0,0.0,0.0,0.0,-0.6,-175.5,10871.0,10190.0,681.0,-0.0,-0.0,-0.0
rw_d_tag_antidependency,naive,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.0,193.2,63891.0,62353.0,1538.0,0.0,0.0,0.0,0.2,45.7,66644.0,64262.0,2383.0,0.0,0.0,0.0,-0.2,-147.5,2753.0,1909.0,845.0,-0.0,-0.0,-0.0
rw_d_tag_antidependency,notify,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,2,1,1,1.0,310.4,71922.0,70093.0,1828.0,0.0,0.0,0.0,1.0,46.0,87757.0,84189.0,3567.0,0.0,0.0,0.0,0.0,-264.4,15835.0,14096.0,1739.0,-0.0,-0.0,-0.0
t01_stale_clobber,ast_dep,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.333,109.6,21141.0,19969.0,1172.0,0.0,1.0,0.0,0.0,14.9,10197.0,8766.0,1431.0,0.0,0.6,0.0,0.333,-94.7,-10944.0,-11203.0,259.0,-0.0,-0.4,-0.0
t01_stale_clobber,ast_scope,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.333,61.4,20925.0,19680.0,1244.0,0.027,1.0,0.0,0.0,14.8,10362.0,8776.0,1586.0,0.0,0.6,0.0,0.333,-46.6,-10563.0,-10904.0,342.0,-0.027,-0.4,-0.0
t01_stale_clobber,file_lock,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,90.9,20492.0,19239.0,1254.0,0.0,1.0,0.0,1.0,24.8,10664.0,9048.0,1616.0,0.0,1.0,0.0,0.0,-66.1,-9828.0,-10191.0,362.0,-0.0,-0.0,-0.0
t01_stale_clobber,git_hash,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,86.9,31006.0,29230.0,1776.0,0.094,1.333,0.0,1.0,32.5,22737.0,19727.0,3011.0,0.176,2.0,0.0,0.0,-54.4,-8269.0,-9503.0,1235.0,0.082,0.667,-0.0
t01_stale_clobber,naive,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,76.6,20177.0,19034.0,1143.0,0.0,0.0,0.0,0.0,13.8,10716.0,9186.0,1530.0,0.0,0.0,0.0,0.667,-62.8,-9461.0,-9848.0,387.0,-0.0,-0.0,-0.0
t01_stale_clobber,notify,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,130.2,23697.0,22359.0,1338.0,0.0,0.0,0.0,0.4,24.8,18950.0,16385.0,2565.0,0.0,0.0,0.0,0.267,-105.4,-4747.0,-5974.0,1227.0,-0.0,-0.0,-0.0
t02_benign_overlap,ast_dep,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,40.8,15695.0,15017.0,678.0,0.0,0.0,0.0,1.0,17.0,14029.0,12129.0,1900.0,0.018,0.0,0.0,0.0,-23.8,-1666.0,-2888.0,1222.0,0.018,-0.0,-0.0
t02_benign_overlap,ast_scope,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,51.5,18036.0,17360.0,676.0,0.0,0.0,0.0,1.0,17.3,13671.0,12053.0,1618.0,0.019,0.0,0.0,0.0,-34.2,-4365.0,-5307.0,942.0,0.019,-0.0,-0.0
t02_benign_overlap,file_lock,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,92.4,16229.0,15728.0,501.0,0.0,1.667,1.667,1.0,26.3,13076.0,11387.0,1689.0,0.0,1.0,1.0,0.0,-66.1,-3153.0,-4341.0,1188.0,-0.0,-0.667,-0.667
