solo_run_id,parallel_run_id,direction,task,solo_n_tasks,solo_n_strategies,solo_cells,solo_trials,solo_correct_rate,solo_mean_wall_s,solo_mean_tokens,solo_mean_prompt_tokens,solo_mean_completion_tokens,solo_wasted_rate,solo_stalls_per_trial,solo_fp_stalls_per_trial,solo_mean_agent_turns,solo_mean_llm_calls,solo_mean_tool_calls,solo_mean_file_reads,solo_mean_write_attempts,solo_mean_search_events,solo_mean_coord_events,solo_mean_tokens_per_agent_turn,strategy,n_agents,parallel_n_tasks,parallel_n_strategies,parallel_cells,parallel_trials,parallel_correct_rate,parallel_mean_wall_s,parallel_mean_tokens,parallel_mean_prompt_tokens,parallel_mean_completion_tokens,parallel_wasted_rate,parallel_stalls_per_trial,parallel_fp_stalls_per_trial,parallel_mean_agent_turns,parallel_mean_llm_calls,parallel_mean_tool_calls,parallel_mean_file_reads,parallel_mean_write_attempts,parallel_mean_search_events,parallel_mean_coord_events,parallel_mean_tokens_per_agent_turn,delta_correct_rate,delta_mean_wall_s,delta_mean_tokens,delta_mean_prompt_tokens,delta_mean_completion_tokens,delta_wasted_rate,delta_stalls_per_trial,delta_fp_stalls_per_trial,delta_mean_agent_turns,delta_mean_llm_calls,delta_mean_tool_calls,delta_mean_file_reads,delta_mean_write_attempts,delta_mean_search_events,delta_mean_coord_events,delta_mean_tokens_per_agent_turn
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_b_signature_drift,1,1,1,5,0.8,63.9,113841.0,109759.0,4083.0,0.0,0.0,0.0,26.0,26.0,26.0,11.4,6.6,5.2,0.0,4354.0,ast_dep,2,1,1,1,5,0.0,69.1,124759.0,119816.0,4943.0,0.012,1.2,0.0,38.2,38.2,37.8,17.8,8.4,5.6,7.2,3196.0,-0.8,-5.2,-10918.0,-10057.0,-860.0,-0.012,-1.2,-0.0,-12.2,-12.2,-11.8,-6.4,-1.8,-0.4,-7.2,1158.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_b_signature_drift,1,1,1,5,0.8,63.9,113841.0,109759.0,4083.0,0.0,0.0,0.0,26.0,26.0,26.0,11.4,6.6,5.2,0.0,4354.0,ast_scope,2,1,1,1,5,0.4,79.7,141028.0,135276.0,5751.0,0.031,0.6,0.0,39.2,39.2,39.2,18.4,9.4,5.2,5.8,3452.0,-0.4,-15.8,-27187.0,-25517.0,-1668.0,-0.031,-0.6,-0.0,-13.2,-13.2,-13.2,-7.0,-2.8,-0.0,-5.8,902.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_b_signature_drift,1,1,1,5,0.8,63.9,113841.0,109759.0,4083.0,0.0,0.0,0.0,26.0,26.0,26.0,11.4,6.6,5.2,0.0,4354.0,file_lock,2,1,1,1,5,1.0,157.6,136094.0,131642.0,4452.0,0.0,9.8,0.0,41.8,41.8,41.4,22.0,6.8,5.6,9.8,3178.0,0.2,-93.7,-22253.0,-21883.0,-369.0,-0.0,-9.8,-0.0,-15.8,-15.8,-15.4,-10.6,-0.2,-0.4,-9.8,1176.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_b_signature_drift,1,1,1,5,0.8,63.9,113841.0,109759.0,4083.0,0.0,0.0,0.0,26.0,26.0,26.0,11.4,6.6,5.2,0.0,4354.0,git_hash,2,1,1,1,5,0.8,75.7,125711.0,120133.0,5578.0,0.0,0.0,0.0,37.0,37.0,37.0,16.8,9.0,5.2,0.6,3293.0,0.0,-11.8,-11870.0,-10374.0,-1495.0,-0.0,-0.0,-0.0,-11.0,-11.0,-11.0,-5.4,-2.4,-0.0,-0.6,1061.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_b_signature_drift,1,1,1,5,0.8,63.9,113841.0,109759.0,4083.0,0.0,0.0,0.0,26.0,26.0,26.0,11.4,6.6,5.2,0.0,4354.0,naive,2,1,1,1,5,0.8,87.4,158964.0,153044.0,5919.0,0.009,0.0,0.0,41.8,41.8,41.0,17.0,8.6,7.4,0.0,3684.0,0.0,-23.5,-45123.0,-43285.0,-1836.0,-0.009,-0.0,-0.0,-15.8,-15.8,-15.0,-5.6,-2.0,-2.2,-0.0,670.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_b_signature_drift,1,1,1,5,0.8,63.9,113841.0,109759.0,4083.0,0.0,0.0,0.0,26.0,26.0,26.0,11.4,6.6,5.2,0.0,4354.0,notify,2,1,1,1,5,1.0,52.7,119570.0,114589.0,4981.0,0.0,0.0,0.0,36.2,36.2,36.0,16.6,8.6,5.4,4.8,3242.0,0.2,11.2,-5729.0,-4830.0,-898.0,-0.0,-0.0,-0.0,-10.2,-10.2,-10.0,-5.2,-2.0,-0.2,-4.8,1112.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_c_benign_overlap,1,1,1,4,1.0,26.3,38263.0,36506.0,1757.0,0.0,0.0,0.0,13.0,13.0,13.0,7.0,3.0,0.0,0.0,2927.0,ast_dep,2,1,1,1,5,1.0,28.4,47115.0,45563.0,1552.0,0.0,0.0,0.0,19.6,19.6,19.6,10.0,3.0,1.8,1.4,2400.0,0.0,-2.1,-8852.0,-9057.0,205.0,-0.0,-0.0,-0.0,-6.6,-6.6,-6.6,-3.0,-0.0,-1.8,-1.4,527.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_c_benign_overlap,1,1,1,4,1.0,26.3,38263.0,36506.0,1757.0,0.0,0.0,0.0,13.0,13.0,13.0,7.0,3.0,0.0,0.0,2927.0,ast_scope,2,1,1,1,5,1.0,29.4,50689.0,49045.0,1645.0,0.0,0.0,0.0,20.2,20.2,20.2,10.8,3.0,1.4,1.0,2506.0,0.0,-3.1,-12426.0,-12539.0,112.0,-0.0,-0.0,-0.0,-7.2,-7.2,-7.2,-3.8,-0.0,-1.4,-1.0,421.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_c_benign_overlap,1,1,1,4,1.0,26.3,38263.0,36506.0,1757.0,0.0,0.0,0.0,13.0,13.0,13.0,7.0,3.0,0.0,0.0,2927.0,file_lock,2,1,1,1,5,1.0,69.0,56787.0,55013.0,1774.0,0.0,5.0,5.0,22.4,22.4,22.4,11.6,3.0,2.4,5.0,2495.0,0.0,-42.7,-18524.0,-18507.0,-17.0,-0.0,-5.0,-5.0,-9.4,-9.4,-9.4,-4.6,-0.0,-2.4,-5.0,432.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_c_benign_overlap,1,1,1,4,1.0,26.3,38263.0,36506.0,1757.0,0.0,0.0,0.0,13.0,13.0,13.0,7.0,3.0,0.0,0.0,2927.0,git_hash,2,1,1,1,5,1.0,25.7,42135.0,40576.0,1559.0,0.0,0.0,0.0,18.2,18.2,18.2,8.8,3.0,1.2,1.0,2304.0,0.0,0.6,-3872.0,-4070.0,198.0,-0.0,-0.0,-0.0,-5.2,-5.2,-5.2,-1.8,-0.0,-1.2,-1.0,623.0
