task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
rw_d_tag_antidependency,ast_dep,2,3,0.667,0.0,1.0,174.7,138.4,222.2,42220.0,36755.0,45187.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,ast_scope,2,3,0.0,0.0,0.0,185.0,115.1,281.6,50966.0,38673.0,57942.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,file_lock,2,3,1.0,1.0,1.0,270.8,194.8,354.1,67872.0,52937.0,83164.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,git_hash,2,3,0.0,0.0,0.0,204.5,156.8,242.4,56017.0,44477.0,76939.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,naive,2,3,0.0,0.0,0.0,193.2,128.4,298.8,63891.0,47275.0,91875.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,notify,2,3,1.0,1.0,1.0,379.7,247.8,518.2,73938.0,66896.0,77970.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,ast_dep,3,3,0.667,0.0,1.0,424.5,334.8,494.4,249023.0,191871.0,300165.0,0.019,0.0,0.056,0.0,0.0,0.0
rw_e_cascade,ast_scope,3,3,0.0,0.0,0.0,444.6,311.2,529.1,258449.0,237927.0,269003.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,file_lock,3,3,0.667,0.0,1.0,795.0,698.8,900.0,249019.0,212544.0,312896.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,git_hash,3,3,0.0,0.0,0.0,524.8,278.6,728.9,259349.0,198754.0,318597.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,naive,3,3,0.333,0.0,1.0,484.1,370.4,568.5,283749.0,201464.0,327947.0,0.02,0.0,0.061,0.0,0.0,0.0
rw_e_cascade,notify,3,3,1.0,1.0,1.0,421.8,351.3,504.4,321734.0,219795.0,422658.0,0.024,0.0,0.073,0.0,0.0,0.0
t01_stale_clobber,ast_dep,2,3,0.333,0.0,1.0,109.6,90.7,134.2,21141.0,18538.0,24316.0,0.0,0.0,0.0,0.0,0.0,0.0
t01_stale_clobber,ast_scope,2,3,0.333,0.0,1.0,61.4,35.3,103.7,20925.0,18066.0,26642.0,0.027,0.0,0.081,0.0,0.0,0.0
t01_stale_clobber,file_lock,2,3,1.0,1.0,1.0,90.9,72.3,101.8,20492.0,17851.0,23191.0,0.0,0.0,0.0,0.0,0.0,0.0
t01_stale_clobber,git_hash,2,3,1.0,1.0,1.0,86.9,61.8,118.7,31006.0,23686.0,39241.0,0.094,0.068,0.128,0.0,0.0,0.0
t01_stale_clobber,naive,2,3,0.667,0.0,1.0,76.6,69.4,86.9,20177.0,18563.0,22138.0,0.0,0.0,0.0,0.0,0.0,0.0
t01_stale_clobber,notify,2,3,0.667,0.0,1.0,130.2,79.6,220.4,23697.0,20238.0,29242.0,0.0,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,ast_dep,2,3,1.0,1.0,1.0,40.8,36.5,43.4,15695.0,15406.0,16151.0,0.0,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,ast_scope,2,3,1.0,1.0,1.0,51.5,43.5,61.1,18036.0,17883.0,18153.0,0.0,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,file_lock,2,3,1.0,1.0,1.0,92.4,78.1,116.3,16229.0,13036.0,20324.0,0.0,0.0,0.0,1.667,1.0,3.0
t02_benign_overlap,git_hash,2,3,1.0,1.0,1.0,88.0,38.2,132.7,47153.0,16501.0,108457.0,0.098,0.0,0.293,2.0,0.0,6.0
t02_benign_overlap,naive,2,3,1.0,1.0,1.0,68.3,49.6,99.6,15827.0,15426.0,16063.0,0.0,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,notify,2,3,1.0,1.0,1.0,52.8,43.8,63.2,16615.0,13828.0,18928.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,ast_dep,2,3,0.333,0.0,1.0,89.6,58.9,119.3,15957.0,15843.0,16107.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,ast_scope,2,3,0.333,0.0,1.0,64.0,44.1,102.5,17390.0,14111.0,21940.0,0.028,0.0,0.083,0.0,0.0,0.0
t03_fetch_clobber,file_lock,2,3,1.0,1.0,1.0,60.0,52.5,66.3,15614.0,14350.0,16410.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,git_hash,2,3,1.0,1.0,1.0,98.0,66.9,132.3,23394.0,21977.0,26213.0,0.108,0.083,0.157,0.0,0.0,0.0
t03_fetch_clobber,naive,2,3,0.667,0.0,1.0,64.9,46.1,95.8,15509.0,13756.0,16410.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,notify,2,3,0.333,0.0,1.0,107.7,57.6,149.4,23984.0,22103.0,26877.0,0.0,0.0,0.0,0.0,0.0,0.0
