strategy,n_agents,n_tasks,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
ast_dep,2,6,18,0.611,0.389,0.833,140.3,100.9,186.4,31294.0,23732.0,41291.0,0.009,0.0,0.028,0.0,0.0,0.0
ast_dep,3,1,3,0.667,0.0,1.0,424.5,334.8,494.4,249023.0,191871.0,300165.0,0.019,0.0,0.056,0.0,0.0,0.0
ast_dep,4,1,3,0.0,0.0,0.0,333.0,256.3,447.8,100417.0,83629.0,123799.0,0.055,0.0,0.131,0.0,0.0,0.0
ast_scope,2,6,18,0.556,0.333,0.778,110.2,76.6,152.0,30695.0,23883.0,38336.0,0.019,0.005,0.041,0.0,0.0,0.0
ast_scope,3,1,3,0.0,0.0,0.0,444.6,311.2,529.1,258449.0,237927.0,269003.0,0.0,0.0,0.0,0.0,0.0,0.0
ast_scope,4,1,3,0.667,0.0,1.0,289.3,194.7,342.5,115967.0,90329.0,167242.0,0.008,0.0,0.024,0.0,0.0,0.0
file_lock,2,6,18,0.944,0.833,1.0,156.1,113.6,204.8,33836.0,24785.0,44829.0,0.01,0.0,0.027,0.278,0.0,0.667
file_lock,3,1,3,0.667,0.0,1.0,795.0,698.8,900.0,249019.0,212544.0,312896.0,0.0,0.0,0.0,0.0,0.0,0.0
file_lock,4,1,3,0.667,0.0,1.0,768.4,695.2,900.0,216654.0,163625.0,270700.0,0.032,0.0,0.096,0.0,0.0,0.0
git_hash,2,6,18,0.778,0.556,0.944,147.8,104.4,195.5,37894.0,27714.0,50346.0,0.05,0.018,0.09,0.333,0.0,1.0
git_hash,3,1,3,0.0,0.0,0.0,524.8,278.6,728.9,259349.0,198754.0,318597.0,0.0,0.0,0.0,0.0,0.0,0.0
git_hash,4,1,3,1.0,1.0,1.0,387.7,285.3,492.2,130643.0,96729.0,151826.0,0.0,0.0,0.0,0.0,0.0,0.0
naive,2,6,18,0.722,0.5,0.889,110.8,85.3,140.7,29698.0,21620.0,39369.0,0.01,0.0,0.027,0.0,0.0,0.0
naive,3,1,3,0.333,0.0,1.0,484.1,370.4,568.5,283749.0,201464.0,327947.0,0.02,0.0,0.061,0.0,0.0,0.0
naive,4,1,3,0.667,0.0,1.0,338.2,223.8,426.4,107190.0,94266.0,127106.0,0.0,0.0,0.0,0.0,0.0,0.0
notify,2,6,18,0.833,0.667,1.0,164.8,115.0,224.4,32756.0,24255.0,42211.0,0.0,0.0,0.0,0.0,0.0,0.0
notify,3,1,3,1.0,1.0,1.0,421.8,351.3,504.4,321734.0,219795.0,422658.0,0.024,0.0,0.073,0.0,0.0,0.0
notify,4,1,3,1.0,1.0,1.0,332.8,278.5,423.2,124702.0,104916.0,141587.0,0.0,0.0,0.0,0.0,0.0,0.0
