task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
rw_d_tag_antidependency,ast_dep,2,3,13.67,13.67,18.0,8.67,3.33,3.33,0.0,1.0,0.67,2.33,0.0,3089.84
rw_d_tag_antidependency,ast_scope,2,3,16.33,16.33,20.67,9.0,3.0,3.0,0.0,3.0,1.0,2.67,0.0,3106.87
rw_d_tag_antidependency,file_lock,2,3,19.0,19.0,24.0,11.67,3.0,3.0,0.0,4.0,2.67,2.0,0.0,3542.52
rw_d_tag_antidependency,git_hash,2,3,17.0,17.0,21.67,9.67,3.33,3.33,0.0,3.67,0.0,2.0,0.0,3245.97
rw_d_tag_antidependency,naive,2,3,19.67,19.67,23.0,10.0,3.0,3.0,0.0,5.0,0.0,2.0,0.0,3232.5
rw_d_tag_antidependency,notify,2,3,20.67,20.67,24.67,10.67,4.0,4.0,0.0,4.67,1.33,2.67,1.33,3580.3
rw_e_cascade,ast_dep,3,3,41.33,41.33,71.67,44.33,11.33,10.67,0.67,4.67,16.0,5.33,0.0,5977.12
rw_e_cascade,ast_scope,3,3,47.0,47.0,77.0,41.0,12.0,12.0,0.0,13.0,9.33,5.33,0.0,5496.43
rw_e_cascade,file_lock,3,3,51.0,50.33,89.0,54.67,12.0,12.0,0.0,12.33,39.0,4.33,0.0,4871.64
rw_e_cascade,git_hash,3,3,44.67,44.67,73.33,41.0,13.67,13.67,0.0,8.33,0.67,4.67,0.0,5767.59
rw_e_cascade,naive,3,3,48.0,48.0,75.67,43.33,14.0,13.0,1.0,8.0,0.0,4.67,0.0,5862.98
rw_e_cascade,notify,3,3,50.67,50.67,79.0,47.33,14.0,12.67,1.33,6.33,12.67,5.33,12.67,6271.99
t01_stale_clobber,ast_dep,2,3,10.33,10.33,10.33,3.67,2.0,2.0,0.0,0.33,1.67,2.0,0.0,2047.67
t01_stale_clobber,ast_scope,2,3,10.0,10.0,10.0,3.33,2.33,2.0,0.33,0.33,1.67,2.0,0.0,2078.28
t01_stale_clobber,file_lock,2,3,10.33,10.33,11.0,3.33,2.0,2.0,0.0,1.33,1.0,2.0,0.0,1986.51
t01_stale_clobber,git_hash,2,3,12.33,12.33,12.33,4.0,3.33,2.0,1.33,0.67,1.33,2.0,0.0,2497.42
t01_stale_clobber,naive,2,3,10.33,10.33,10.67,3.0,2.0,2.0,0.0,1.67,0.0,2.0,0.0,1950.62
t01_stale_clobber,notify,2,3,11.33,11.33,11.33,3.33,2.33,2.33,0.0,1.0,1.67,2.33,1.0,2079.24
t02_benign_overlap,ast_dep,2,3,9.0,9.0,9.0,3.0,2.0,2.0,0.0,0.0,1.67,2.0,0.0,1743.93
t02_benign_overlap,ast_scope,2,3,10.0,10.0,10.0,4.0,2.0,2.0,0.0,0.0,1.33,2.0,0.0,1803.6
t02_benign_overlap,file_lock,2,3,9.67,9.67,9.67,3.0,2.0,2.0,0.0,0.33,1.67,2.0,0.0,1675.39
t02_benign_overlap,git_hash,2,3,16.33,16.33,17.0,6.33,6.33,3.33,3.0,0.33,2.67,2.0,0.0,2388.5
t02_benign_overlap,naive,2,3,9.0,9.0,9.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1758.52
t02_benign_overlap,notify,2,3,9.0,9.0,9.67,3.67,2.0,2.0,0.0,0.0,1.67,2.0,1.67,1840.06
t03_fetch_clobber,ast_dep,2,3,9.0,9.0,9.0,3.0,2.0,2.0,0.0,0.0,1.67,2.0,0.0,1773.0
t03_fetch_clobber,ast_scope,2,3,9.33,9.33,10.0,3.67,2.33,2.0,0.33,0.0,2.33,2.0,0.0,1849.77
t03_fetch_clobber,file_lock,2,3,8.67,8.67,9.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1801.36
t03_fetch_clobber,git_hash,2,3,11.33,11.33,11.67,4.33,3.33,2.0,1.33,0.0,1.33,2.0,0.0,2060.56
t03_fetch_clobber,naive,2,3,8.67,8.67,9.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1786.91
t03_fetch_clobber,notify,2,3,12.0,12.0,12.0,4.0,3.33,3.33,0.0,0.0,2.33,2.67,2.33,1994.86
t04_cascade,ast_dep,4,3,40.0,40.0,69.0,43.33,10.0,8.0,2.0,2.33,11.33,5.33,0.0,2493.28
t04_cascade,ast_scope,4,3,44.0,44.0,74.0,45.33,9.33,9.0,0.33,5.0,12.0,6.33,0.0,2584.16
t04_cascade,file_lock,4,3,75.33,74.67,113.0,64.67,9.33,7.33,2.0,18.67,63.67,11.67,0.0,2809.42
t04_cascade,git_hash,4,3,46.67,46.67,79.0,50.67,10.33,10.33,0.0,4.0,0.33,6.0,0.0,2774.08
t04_cascade,naive,4,3,41.0,41.0,67.67,39.67,8.67,8.67,0.0,5.67,0.0,5.67,0.0,2605.85
t04_cascade,notify,4,3,46.67,46.67,74.67,50.33,8.33,8.33,0.0,2.67,10.33,5.33,10.0,2665.56
t07_rw_canary,ast_dep,2,3,13.67,13.67,20.67,9.0,4.0,3.0,1.0,2.67,1.33,2.0,0.0,1882.77
t07_rw_canary,ast_scope,2,3,15.33,15.33,20.33,9.67,4.0,3.33,0.67,1.67,0.33,2.0,0.0,1901.35
t07_rw_canary,file_lock,2,3,14.33,14.33,19.67,9.67,3.0,2.33,0.67,2.33,2.33,2.33,0.0,1859.35
t07_rw_canary,git_hash,2,3,12.0,12.0,19.0,9.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,1838.11
t07_rw_canary,naive,2,3,12.67,12.67,16.67,7.33,3.67,3.0,0.67,1.0,0.0,2.0,0.0,1833.13
t07_rw_canary,notify,2,3,12.0,12.0,17.33,6.67,2.33,2.33,0.0,3.67,0.0,1.67,0.0,1761.25
t11_irreversible,ast_dep,2,3,23.67,23.67,27.33,10.0,4.33,4.33,0.0,1.0,0.67,3.33,0.0,2801.92
t11_irreversible,ast_scope,2,3,18.33,18.33,22.33,8.67,3.67,3.33,0.33,0.33,0.67,2.67,0.0,2517.58
t11_irreversible,file_lock,2,3,23.67,23.67,27.67,10.0,3.33,3.0,0.33,2.0,4.0,3.67,0.0,2333.38
t11_irreversible,git_hash,2,3,18.67,18.67,22.0,8.0,3.33,3.33,0.0,0.0,0.0,2.67,0.0,2476.44
t11_irreversible,naive,2,3,17.0,17.0,19.67,6.0,3.67,3.33,0.33,0.0,0.0,2.0,0.0,2298.18
