task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_dep,strategy,,2,0,agnes-2.0-flash,False,2,3,163.4,43784,1403,45187,0.0,0,0.0,0,0,0,0,0.015,7,15,19,7,4,4,0,3,2,3,0,15,7.5,3012.4666666666667,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_dep-n2-r0.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_dep,strategy,,2,1,agnes-2.0-flash,True,3,3,222.15,35453,1302,36755,0.0,0,0.0,0,0,0,0,0.021,9,12,17,9,3,3,0,0,0,2,0,12,6.0,3062.9166666666665,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_dep-n2-r1.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_dep,strategy,,2,2,agnes-2.0-flash,True,3,3,138.41,43137,1581,44718,0.0,0,0.0,0,0,0,0,0.014,10,14,18,10,3,3,0,0,0,2,0,14,7.0,3194.1428571428573,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_dep-n2-r2.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_scope,strategy,,2,0,agnes-2.0-flash,False,2,3,281.56,54800,1482,56282,0.0,0,0.0,0,0,0,0,0.068,11,18,22,11,3,3,0,2,0,3,0,18,9.0,3126.777777777778,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_scope-n2-r0.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_scope,strategy,,2,1,agnes-2.0-flash,False,2,3,115.11,37450,1223,38673,0.0,0,0.0,0,0,0,0,0.056,7,13,17,7,3,3,0,1,1,3,0,13,6.5,2974.846153846154,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_scope-n2-r1.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_scope,strategy,,2,2,agnes-2.0-flash,False,2,3,158.37,56490,1452,57942,0.0,0,0.0,0,0,0,0,0.011,9,18,23,9,3,3,0,6,2,2,0,18,9.0,3219.0,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_scope-n2-r2.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
rw_d_tag_antidependency,antidependency_silent_invalidation,False,file_lock,strategy,,2,0,agnes-2.0-flash,True,3,3,263.57,51451,1486,52937,0.0,0,0.0,2,0,0,0,0.0,9,17,20,9,3,3,0,3,2,2,0,17,8.5,3113.9411764705883,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__file_lock-n2-r0.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
rw_d_tag_antidependency,antidependency_silent_invalidation,False,file_lock,strategy,,2,1,agnes-2.0-flash,True,3,3,354.11,81119,2045,83164,0.0,0,0.0,4,0,0,0,0.0,15,21,29,15,3,3,0,6,4,2,0,21,10.5,3960.190476190476,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__file_lock-n2-r1.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
rw_d_tag_antidependency,antidependency_silent_invalidation,False,file_lock,strategy,,2,2,agnes-2.0-flash,True,3,3,194.79,66042,1473,67515,0.0,0,0.0,2,0,0,0,0.0,11,19,23,11,3,3,0,3,2,2,0,19,9.5,3553.4210526315787,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__file_lock-n2-r2.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
rw_d_tag_antidependency,antidependency_silent_invalidation,False,git_hash,strategy,,2,0,agnes-2.0-flash,False,2,3,214.29,75089,1850,76939,0.0,0,0.0,0,0,0,0,0.0,12,21,26,12,4,4,0,5,0,2,0,21,10.5,3663.7619047619046,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__git_hash-n2-r0.jsonl,grid-v1-agnes-sensitivity,agnes,results/grid-v1-agnes-sensitivity
