task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
rw_b_signature_drift,adaptive_lease,2,5,0.2,0.0,0.6,59.5,49.6,69.8,122259.0,108915.0,136883.0,0.015,0.0,0.03,0.0,0.0,0.0
rw_b_signature_drift,peer_broker,2,5,0.4,0.0,0.8,67.6,61.3,76.6,156206.0,137563.0,175190.0,0.024,0.0,0.059,0.0,0.0,0.0
rw_b_signature_drift,peer_contract,2,5,1.0,1.0,1.0,87.0,57.6,112.7,191927.0,133136.0,257536.0,0.032,0.007,0.058,0.6,0.0,1.8
rw_c_benign_overlap,adaptive_lease,2,5,1.0,1.0,1.0,19.1,17.2,20.5,39773.0,32036.0,47840.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,peer_broker,2,5,0.6,0.2,1.0,63.3,35.8,101.2,93820.0,63211.0,145165.0,0.009,0.0,0.028,1.0,1.0,1.0
rw_c_benign_overlap,peer_contract,2,5,1.0,1.0,1.0,23.4,20.7,26.6,55669.0,45400.0,63823.0,0.0,0.0,0.0,1.0,1.0,1.0
rw_d_tag_antidependency,adaptive_lease,2,5,0.4,0.0,0.8,48.4,41.7,57.0,73309.0,56677.0,96600.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,peer_broker,2,5,0.6,0.2,1.0,50.8,37.6,67.5,100514.0,69097.0,143992.0,0.003,0.0,0.01,0.0,0.0,0.0
rw_d_tag_antidependency,peer_contract,2,5,0.8,0.4,1.0,31.1,25.8,36.6,60939.0,46560.0,73339.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,adaptive_lease,3,5,0.6,0.2,1.0,125.7,116.9,134.6,328324.0,307976.0,353643.0,0.017,0.008,0.022,0.0,0.0,0.0
rw_e_cascade,peer_broker,3,5,0.0,0.0,0.0,100.3,86.8,113.9,387362.0,340137.0,449493.0,0.009,0.0,0.018,0.0,0.0,0.0
rw_e_cascade,peer_contract,3,5,0.0,0.0,0.0,140.3,119.7,162.0,493661.0,406159.0,600851.0,0.031,0.02,0.044,0.0,0.0,0.0
t01_stale_clobber,adaptive_lease,2,5,1.0,1.0,1.0,25.9,24.2,27.8,16777.0,14544.0,19011.0,0.039,0.0,0.079,0.0,0.0,0.0
t01_stale_clobber,peer_broker,2,5,1.0,1.0,1.0,61.0,33.9,92.2,27216.0,25840.0,29542.0,0.011,0.0,0.032,0.0,0.0,0.0
t01_stale_clobber,peer_contract,2,5,0.6,0.2,1.0,37.2,26.0,50.0,24519.0,19042.0,29995.0,0.026,0.0,0.079,0.0,0.0,0.0
t02_benign_overlap,adaptive_lease,2,5,1.0,1.0,1.0,18.9,17.5,20.4,16375.0,15378.0,17343.0,0.0,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,peer_broker,2,5,1.0,1.0,1.0,26.2,17.7,35.2,14413.0,12176.0,17620.0,0.02,0.0,0.061,0.0,0.0,0.0
t02_benign_overlap,peer_contract,2,5,1.0,1.0,1.0,39.4,31.6,46.6,19104.0,16263.0,23159.0,0.016,0.0,0.048,0.0,0.0,0.0
t03_fetch_clobber,adaptive_lease,2,5,1.0,1.0,1.0,25.8,23.8,28.0,17394.0,16157.0,19127.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,peer_broker,2,5,0.8,0.4,1.0,32.0,27.5,36.7,29270.0,21002.0,37599.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,peer_contract,2,5,1.0,1.0,1.0,32.7,25.1,45.9,28271.0,26430.0,30531.0,0.012,0.0,0.036,0.0,0.0,0.0
t04_cascade,adaptive_lease,4,5,1.0,1.0,1.0,53.8,48.3,60.0,142897.0,129427.0,161174.0,0.021,0.005,0.038,0.0,0.0,0.0
t04_cascade,peer_broker,4,5,0.2,0.0,0.6,93.8,70.4,123.0,224553.0,151111.0,314276.0,0.028,0.011,0.047,0.0,0.0,0.0
t04_cascade,peer_contract,4,5,0.6,0.2,1.0,199.0,156.0,249.5,423018.0,319356.0,542334.0,0.129,0.098,0.168,0.0,0.0,0.0
t05_cross_file,adaptive_lease,2,5,0.8,0.4,1.0,75.6,62.7,87.2,73833.0,60978.0,85052.0,0.019,0.0,0.041,0.0,0.0,0.0
t05_cross_file,peer_broker,2,5,0.2,0.0,0.6,86.2,72.0,99.6,63180.0,48574.0,78770.0,0.006,0.0,0.018,0.0,0.0,0.0
t05_cross_file,peer_contract,2,5,0.8,0.4,1.0,188.8,50.9,426.8,91478.0,60231.0,122724.0,0.079,0.015,0.162,0.0,0.0,0.0
t06_feature_pair,adaptive_lease,2,5,1.0,1.0,1.0,66.5,58.7,76.6,62746.0,54129.0,70805.0,0.031,0.009,0.052,0.0,0.0,0.0
t06_feature_pair,peer_broker,2,5,1.0,1.0,1.0,151.8,132.0,170.5,132962.0,105967.0,158737.0,0.079,0.058,0.103,0.2,0.0,0.6
t06_feature_pair,peer_contract,2,5,1.0,1.0,1.0,94.6,77.1,107.7,79842.0,76271.0,83517.0,0.042,0.02,0.06,0.0,0.0,0.0
t07_rw_canary,adaptive_lease,2,5,1.0,1.0,1.0,54.3,42.4,64.6,42476.0,34441.0,50902.0,0.0,0.0,0.0,0.0,0.0,0.0
