task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
rw_b_signature_drift,adaptive_lease,2,5,36.8,36.8,36.4,13.2,8.2,7.8,0.4,7.6,20.6,3.0,6.2,3308.89
rw_b_signature_drift,peer_broker,2,5,41.0,43.0,40.8,18.8,8.8,8.2,0.6,7.0,21.8,2.6,1.8,3791.39
rw_b_signature_drift,peer_contract,2,5,45.6,45.6,45.6,17.0,10.2,8.6,1.6,8.2,16.2,2.2,4.6,4052.4
rw_c_benign_overlap,adaptive_lease,2,5,17.8,17.8,17.8,6.4,3.0,3.0,0.0,2.0,9.6,2.0,3.0,2205.55
rw_c_benign_overlap,peer_broker,2,5,27.6,28.6,27.6,13.2,6.6,6.4,0.2,1.6,13.0,3.4,0.8,3201.29
rw_c_benign_overlap,peer_contract,2,5,21.2,21.2,21.2,8.4,3.0,3.0,0.0,2.0,7.2,2.0,3.0,2601.99
rw_d_tag_antidependency,adaptive_lease,2,5,25.4,25.4,25.2,11.8,3.0,3.0,0.0,2.8,8.8,2.2,2.2,2851.49
rw_d_tag_antidependency,peer_broker,2,5,28.6,30.2,28.2,15.6,4.0,3.8,0.2,3.4,15.0,2.2,1.6,3386.49
rw_d_tag_antidependency,peer_contract,2,5,21.8,21.8,21.6,9.4,3.0,3.0,0.0,1.0,5.2,2.0,2.8,2749.54
rw_e_cascade,adaptive_lease,3,5,72.2,72.2,71.4,31.8,12.6,11.6,1.0,12.4,34.4,6.2,10.6,4544.49
rw_e_cascade,peer_broker,3,5,78.6,83.0,78.2,42.6,13.8,13.4,0.4,11.0,33.6,6.2,0.6,4896.25
rw_e_cascade,peer_contract,3,5,87.6,87.6,87.6,37.6,14.4,12.2,2.2,16.4,37.4,5.8,10.0,5574.62
t01_stale_clobber,adaptive_lease,2,5,10.8,10.8,10.8,2.4,2.4,2.0,0.4,0.0,8.2,2.0,2.0,1543.89
t01_stale_clobber,peer_broker,2,5,12.4,14.4,12.4,4.2,4.0,3.8,0.2,0.0,18.6,2.2,2.0,2192.04
t01_stale_clobber,peer_contract,2,5,12.8,12.8,12.8,2.4,2.6,2.2,0.4,0.4,6.8,2.0,3.4,1886.42
t02_benign_overlap,adaptive_lease,2,5,12.2,12.2,12.2,2.2,2.0,2.0,0.0,1.0,7.4,2.0,2.0,1343.5
t02_benign_overlap,peer_broker,2,5,12.0,12.0,12.0,3.4,2.2,2.0,0.2,0.6,2.0,2.0,0.0,1190.37
t02_benign_overlap,peer_contract,2,5,12.4,12.4,12.4,2.6,2.2,2.0,0.2,0.4,2.2,2.0,2.0,1530.24
t03_fetch_clobber,adaptive_lease,2,5,12.6,12.6,12.6,2.8,2.0,2.0,0.0,1.4,7.0,2.0,2.0,1381.57
t03_fetch_clobber,peer_broker,2,5,15.6,17.4,15.6,5.2,4.2,4.2,0.0,0.6,16.6,2.8,1.8,1849.24
t03_fetch_clobber,peer_contract,2,5,15.2,15.2,15.2,3.6,2.8,2.6,0.2,0.4,8.0,2.0,4.0,1862.67
t04_cascade,adaptive_lease,4,5,74.8,74.8,74.8,42.2,9.6,8.8,0.8,6.0,38.6,5.4,11.8,1903.67
t04_cascade,peer_broker,4,5,95.2,103.0,94.6,55.8,13.2,11.0,2.2,9.0,40.4,7.8,2.6,2263.01
t04_cascade,peer_contract,4,5,127.8,127.8,127.8,56.2,22.0,7.8,14.2,10.2,86.4,6.8,28.0,3231.39
t05_cross_file,adaptive_lease,2,5,38.2,38.2,38.2,17.2,6.0,5.6,0.4,6.2,13.0,3.8,2.0,1920.42
t05_cross_file,peer_broker,2,5,35.0,36.2,34.6,17.4,6.2,6.0,0.2,3.4,14.2,3.6,0.8,1771.91
t05_cross_file,peer_contract,2,5,40.6,40.6,40.6,17.4,7.4,4.2,3.2,3.8,19.2,3.0,4.6,2170.11
t06_feature_pair,adaptive_lease,2,5,28.6,28.6,28.6,13.6,4.6,4.0,0.6,1.2,9.6,2.2,2.0,2185.56
t06_feature_pair,peer_broker,2,5,39.0,41.8,38.2,22.0,7.6,5.2,2.4,2.6,25.2,2.0,2.0,3367.04
t06_feature_pair,peer_contract,2,5,33.2,33.2,33.0,15.6,5.0,4.0,1.0,1.8,13.2,2.0,4.4,2405.11
t07_rw_canary,adaptive_lease,2,5,25.6,25.6,25.4,8.2,3.4,3.4,0.0,5.4,6.6,2.6,2.0,1641.75
t07_rw_canary,peer_broker,2,5,19.8,20.0,19.0,8.4,2.8,2.8,0.0,2.4,3.0,2.0,0.0,1308.1
t07_rw_canary,peer_contract,2,5,21.0,21.0,21.0,7.6,2.6,2.6,0.0,3.8,4.0,2.0,2.0,1539.58
t08_livelock,adaptive_lease,2,5,62.6,62.6,62.6,23.0,18.6,4.2,14.4,5.8,29.6,7.0,2.0,1738.62
t08_livelock,peer_broker,2,5,18.8,22.4,18.8,7.8,4.8,4.2,0.6,0.2,27.4,2.0,2.6,1534.94
t08_livelock,peer_contract,2,5,21.4,21.4,21.4,4.2,5.2,4.0,1.2,0.0,18.6,2.0,4.4,1364.04
t09_overhead,adaptive_lease,2,5,20.2,20.2,20.2,8.0,4.0,4.0,0.0,1.6,8.4,2.2,2.0,1174.79
t09_overhead,peer_broker,2,5,20.0,20.0,20.0,9.8,4.0,4.0,0.0,1.0,4.0,2.0,0.0,931.76
t09_overhead,peer_contract,2,5,18.4,18.4,18.4,6.2,4.0,4.0,0.0,1.4,5.4,2.0,2.0,1275.57
t10_phantom_tool,adaptive_lease,2,5,28.6,28.6,28.6,12.0,3.0,3.0,0.0,0.8,8.2,2.2,2.0,1666.7
t10_phantom_tool,peer_broker,2,5,30.4,31.0,30.4,14.6,3.2,3.2,0.0,1.6,6.4,2.2,0.2,1546.09
t10_phantom_tool,peer_contract,2,5,34.8,34.8,34.8,14.4,3.8,3.2,0.6,2.2,10.2,2.2,3.8,1995.21
t11_irreversible,adaptive_lease,2,5,27.0,27.0,27.0,9.2,2.4,2.4,0.0,1.2,8.0,2.8,2.0,1713.43
t11_irreversible,peer_broker,2,5,21.4,22.4,21.4,8.2,2.0,2.0,0.0,1.2,7.0,2.2,0.0,1506.37
t11_irreversible,peer_contract,2,5,26.2,26.2,26.2,9.4,2.0,2.0,0.0,2.2,6.2,2.0,2.8,1821.65
t12_split_view,adaptive_lease,2,5,30.0,30.0,30.0,2.8,5.6,5.4,0.2,11.2,10.0,3.2,2.0,1407.82
t12_split_view,peer_broker,2,5,40.6,42.4,40.6,8.8,8.2,8.2,0.0,14.4,20.4,4.0,1.8,1796.24
t12_split_view,peer_contract,2,5,25.0,25.0,25.2,2.4,4.6,4.6,0.0,8.2,6.8,2.8,2.2,1456.46
