task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
rw_d_tag_antidependency,peer_broker,2,1,29.0,29.0,29.0,17.0,4.0,3.0,1.0,2.0,3.0,2.0,0.0,3056.31
rw_d_tag_antidependency,peer_contract,2,1,26.0,26.0,26.0,12.0,3.0,3.0,0.0,3.0,6.0,2.0,3.0,2969.35
rw_e_cascade,peer_broker,3,1,120.0,145.0,120.0,64.0,37.0,15.0,22.0,15.0,132.0,3.0,0.0,7484.52
rw_e_cascade,peer_contract,3,1,79.0,79.0,78.0,34.0,12.0,11.0,1.0,10.0,25.0,5.0,7.0,4481.72
t02_benign_overlap,peer_broker,2,1,13.0,13.0,13.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,1135.38
t02_benign_overlap,peer_contract,2,1,18.0,18.0,18.0,5.0,2.0,2.0,0.0,2.0,4.0,2.0,3.0,1640.28
t03_fetch_clobber,peer_broker,2,1,21.0,25.0,21.0,6.0,5.0,2.0,3.0,4.0,25.0,2.0,0.0,2162.52
t03_fetch_clobber,peer_contract,2,1,20.0,20.0,20.0,5.0,3.0,3.0,0.0,3.0,6.0,2.0,4.0,1710.55
t04_cascade,peer_broker,4,1,74.0,76.0,74.0,44.0,11.0,9.0,2.0,6.0,20.0,5.0,0.0,1862.77
t04_cascade,peer_contract,4,1,104.0,104.0,103.0,48.0,16.0,9.0,7.0,14.0,41.0,5.0,15.0,2677.88
