task,strategy,n_agents,trials,correct_rate,mean_wall_s,mean_tokens,mean_usd,wasted_rate,stalls_per_trial,fp_stalls_per_trial,notifies_per_trial,mean_stall_wait_s
rw_d_tag_antidependency,peer_broker,2,1,1.0,90.5,139634.0,0.0592,0.0,2.0,0.0,0.0,23.58
rw_d_tag_antidependency,peer_contract,2,1,1.0,21.6,44481.0,0.0156,0.0,1.0,0.0,0.0,4.61
rw_e_cascade,peer_broker,3,1,1.0,124.1,303486.0,0.1185,0.0,5.0,0.0,0.0,74.93
rw_e_cascade,peer_contract,3,1,0.0,193.9,577414.0,0.1781,0.073,8.0,0.0,0.0,140.69
t02_benign_overlap,peer_broker,2,1,1.0,12.5,14573.0,0.0067,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,peer_contract,2,1,1.0,17.3,17192.0,0.0086,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,peer_broker,2,1,1.0,29.0,26173.0,0.0162,0.0,2.0,0.0,0.0,17.72
t03_fetch_clobber,peer_contract,2,1,1.0,18.0,17569.0,0.0087,0.0,1.0,0.0,0.0,1.23
t04_cascade,peer_broker,4,1,1.0,101.5,217365.0,0.0949,0.057,3.0,0.0,0.0,42.94
t04_cascade,peer_contract,4,1,1.0,249.5,487491.0,0.1691,0.184,23.0,0.0,0.0,641.11
