task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
rw_d_tag_antidependency,peer_broker,2,1,1.0,1.0,1.0,90.5,90.5,90.5,139634.0,139634.0,139634.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,peer_contract,2,1,1.0,1.0,1.0,21.6,21.6,21.6,44481.0,44481.0,44481.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,peer_broker,3,1,1.0,1.0,1.0,124.1,124.1,124.1,303486.0,303486.0,303486.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,peer_contract,3,1,0.0,0.0,0.0,193.9,193.9,193.9,577414.0,577414.0,577414.0,0.073,0.073,0.073,0.0,0.0,0.0
t02_benign_overlap,peer_broker,2,1,1.0,1.0,1.0,12.5,12.5,12.5,14573.0,14573.0,14573.0,0.0,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,peer_contract,2,1,1.0,1.0,1.0,17.3,17.3,17.3,17192.0,17192.0,17192.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,peer_broker,2,1,1.0,1.0,1.0,29.0,29.0,29.0,26173.0,26173.0,26173.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,peer_contract,2,1,1.0,1.0,1.0,18.0,18.0,18.0,17569.0,17569.0,17569.0,0.0,0.0,0.0,0.0,0.0,0.0
t04_cascade,peer_broker,4,1,1.0,1.0,1.0,101.5,101.5,101.5,217365.0,217365.0,217365.0,0.057,0.057,0.057,0.0,0.0,0.0
t04_cascade,peer_contract,4,1,1.0,1.0,1.0,249.5,249.5,249.5,487491.0,487491.0,487491.0,0.184,0.184,0.184,0.0,0.0,0.0
