task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_broker,strategy,,2,0,gpt-5-mini,True,3,3,90.5,125761,13873,139634,0.059186,0,0.0,2,0,0,0,23.584,18,34,32,18,6,6,0,1,20,3,2,32,16.0,4363.5625,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_contract,strategy,,2,0,gpt-5-mini,True,3,3,21.63,41939,2542,44481,0.015569,0,0.0,1,0,0,0,4.606,5,20,19,5,3,3,0,3,6,2,3,20,10.0,2224.05,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,True,3,3,124.1,279117,24369,303486,0.118517,0,0.0,5,0,0,0,74.926,36,74,68,36,14,14,0,10,47,5,3,68,22.666666666666668,4463.029411764706,1.0,1.0,False,3,0,0,rw_e_cascade__peer_broker-n3-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,False,1,3,193.87,558121,19293,577414,0.178116,42315,0.07328364050750415,8,0,0,0,140.691,43,95,95,43,17,12,5,15,45,7,11,95,31.666666666666668,6078.042105263158,1.0,1.0,False,2,0,0,rw_e_cascade__peer_contract-n3-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
t02_benign_overlap,benign_overlap_false_positive,True,peer_broker,strategy,,2,0,gpt-5-mini,True,6,6,12.48,12849,1724,14573,0.00666,0,0.0,0,0,0,0,0.005,4,13,13,4,2,2,0,1,2,2,0,13,6.5,1121.0,1.0,,False,2,0,0,t02_benign_overlap__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
t02_benign_overlap,benign_overlap_false_positive,True,peer_contract,strategy,,2,0,gpt-5-mini,True,6,6,17.26,14753,2439,17192,0.008566,0,0.0,0,0,0,0,0.005,2,11,11,2,2,2,0,1,2,2,2,11,5.5,1562.909090909091,1.0,,False,2,0,0,t02_benign_overlap__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
t03_fetch_clobber,write_write_clobber,False,peer_broker,strategy,,2,0,gpt-5-mini,True,5,5,29.04,20661,5512,26173,0.016189,0,0.0,2,0,0,0,17.717,4,17,15,4,4,4,0,2,18,2,2,15,7.5,1744.8666666666666,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
t03_fetch_clobber,write_write_clobber,False,peer_contract,strategy,,2,0,gpt-5-mini,True,5,5,18.04,15097,2472,17569,0.008718,0,0.0,1,0,0,0,1.234,2,11,11,2,2,2,0,0,6,2,3,11,5.5,1597.1818181818182,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,True,7,7,101.49,194185,23180,217365,0.094906,12438,0.05722172382858326,3,0,0,0,42.945,55,99,90,55,14,11,3,7,43,6,3,91,22.75,2388.6263736263736,1.0,,False,4,0,0,t04_cascade__peer_broker-n4-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
t04_cascade,causal_cascade,False,peer_contract,strategy,,4,0,gpt-5-mini,True,7,7,249.54,460524,26967,487491,0.169065,89607,0.18381262423306277,23,0,0,0,641.11,59,138,138,59,29,8,21,4,105,9,30,138,34.5,3532.5434782608695,1.0,,False,3,0,0,t04_cascade__peer_contract-n4-r0.jsonl,grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5
