task,strategy,n_agents,trials,correct_rate,mean_wall_s,mean_tokens,mean_usd,wasted_rate,stalls_per_trial,fp_stalls_per_trial,notifies_per_trial,mean_stall_wait_s
rw_d_tag_antidependency,peer_broker,2,1,0.0,98.8,119236.0,0.0442,0.075,5.0,0.0,0.0,57.96
rw_d_tag_antidependency,peer_contract,2,1,1.0,35.8,55420.0,0.0186,0.0,1.0,0.0,0.0,4.58
rw_e_cascade,peer_broker,3,1,0.0,342.9,554194.0,0.2118,0.075,12.0,0.0,0.0,250.98
rw_e_cascade,peer_contract,3,1,0.0,173.5,485833.0,0.1522,0.076,3.0,0.0,0.0,61.82
t02_benign_overlap,peer_broker,2,1,1.0,22.4,13100.0,0.0068,0.0,1.0,1.0,0.0,6.69
t02_benign_overlap,peer_contract,2,1,1.0,19.8,22586.0,0.0089,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,peer_broker,2,1,0.0,295.1,255052.0,0.1337,0.402,26.0,0.0,0.0,305.46
t03_fetch_clobber,peer_contract,2,1,1.0,24.7,21647.0,0.0094,0.0,0.0,0.0,0.0,0.01
t04_cascade,peer_broker,4,1,1.0,169.3,266706.0,0.1162,0.095,13.0,0.0,0.0,180.62
t04_cascade,peer_contract,4,1,1.0,131.7,258099.0,0.0838,0.07,5.0,0.0,0.0,121.04
