task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
rw_d_tag_antidependency,peer_broker,2,1,34.0,39.0,34.0,18.0,6.0,3.0,3.0,5.0,31.0,2.0,0.0,3506.94
rw_d_tag_antidependency,peer_contract,2,1,23.0,23.0,23.0,9.0,3.0,3.0,0.0,4.0,6.0,2.0,3.0,2409.57
rw_e_cascade,peer_broker,3,1,93.0,111.0,93.0,52.0,22.0,17.0,5.0,7.0,96.0,8.0,0.0,5959.08
rw_e_cascade,peer_contract,3,1,90.0,90.0,90.0,36.0,16.0,12.0,4.0,11.0,37.0,5.0,12.0,5398.14
t02_benign_overlap,peer_broker,2,1,11.0,12.0,11.0,3.0,2.0,2.0,0.0,0.0,7.0,2.0,0.0,1190.91
t02_benign_overlap,peer_contract,2,1,15.0,15.0,15.0,3.0,2.0,2.0,0.0,1.0,4.0,3.0,3.0,1505.73
t03_fetch_clobber,peer_broker,2,1,56.0,82.0,55.0,17.0,27.0,1.0,26.0,3.0,157.0,5.0,0.0,4554.5
t03_fetch_clobber,peer_contract,2,1,14.0,14.0,14.0,3.0,2.0,2.0,0.0,1.0,6.0,2.0,4.0,1546.21
t04_cascade,peer_broker,4,1,105.0,132.0,105.0,65.0,18.0,10.0,8.0,6.0,107.0,8.0,0.0,2540.06
t04_cascade,peer_contract,4,1,104.0,104.0,104.0,49.0,16.0,9.0,7.0,10.0,38.0,4.0,13.0,2481.72
