task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_broker,strategy,,2,0,gpt-5-mini,False,2,3,98.84,111026,8210,119236,0.044177,8988,0.07475982532751092,5,0,0,0,57.959,18,39,34,18,6,3,3,5,31,2,0,34,17.0,3506.9411764705883,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
rw_d_tag_antidependency,antidependency_silent_invalidation,False,peer_contract,strategy,,2,0,gpt-5-mini,True,3,3,35.75,52701,2719,55420,0.018613,0,0.0,1,0,0,0,4.58,9,23,23,9,3,3,0,4,6,2,3,23,11.5,2409.5652173913045,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
rw_e_cascade,causal_cascade,False,peer_broker,strategy,,3,0,gpt-5-mini,False,0,3,342.94,512324,41870,554194,0.211821,41708,0.0752588443757962,12,0,0,0,250.984,52,111,93,52,22,17,5,7,96,8,0,93,31.0,5959.075268817204,1.0,1.0,False,2,0,0,rw_e_cascade__peer_broker-n3-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
rw_e_cascade,causal_cascade,False,peer_contract,strategy,,3,0,gpt-5-mini,False,1,3,173.51,468260,17573,485833,0.152211,36938,0.07603024084407604,3,0,0,0,61.815,36,90,90,36,16,12,4,11,37,5,12,90,30.0,5398.144444444444,1.0,1.0,False,2,0,0,rw_e_cascade__peer_contract-n3-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
t02_benign_overlap,benign_overlap_false_positive,True,peer_broker,strategy,,2,0,gpt-5-mini,True,6,6,22.36,11082,2018,13100,0.006807,0,0.0,1,1,0,0,6.691,3,12,11,3,2,2,0,0,7,2,0,11,5.5,1190.909090909091,1.0,,False,2,0,0,t02_benign_overlap__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
t02_benign_overlap,benign_overlap_false_positive,True,peer_contract,strategy,,2,0,gpt-5-mini,True,6,6,19.77,20745,1841,22586,0.008868,0,0.0,0,0,0,0,0.005,3,15,15,3,2,2,0,1,4,3,3,15,7.5,1505.7333333333333,1.0,,False,2,0,0,t02_benign_overlap__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
t03_fetch_clobber,write_write_clobber,False,peer_broker,strategy,,2,0,gpt-5-mini,False,3,5,295.11,215116,39936,255052,0.133651,102507,0.40190627793547984,26,0,0,0,305.461,17,82,55,17,27,1,26,3,157,5,0,56,28.0,4554.5,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_broker-n2-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
t03_fetch_clobber,write_write_clobber,False,peer_contract,strategy,,2,0,gpt-5-mini,True,5,5,24.69,19372,2275,21647,0.009393,0,0.0,0,0,0,0,0.01,3,14,14,3,2,2,0,1,6,2,4,14,7.0,1546.2142857142858,1.0,1.0,False,2,0,0,t03_fetch_clobber__peer_contract-n2-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,True,7,7,169.28,238415,28291,266706,0.116186,25252,0.09468103454740426,13,0,0,0,180.617,65,132,105,65,18,10,8,6,107,8,0,105,26.25,2540.057142857143,1.0,,False,4,0,0,t04_cascade__peer_broker-n4-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
t04_cascade,causal_cascade,False,peer_contract,strategy,,4,0,gpt-5-mini,True,7,7,131.69,247064,11035,258099,0.083836,18118,0.07019786980964668,5,0,0,0,121.038,49,104,104,49,16,9,7,10,38,4,13,104,26.0,2481.721153846154,1.0,,False,4,0,0,t04_cascade__peer_contract-n4-r0.jsonl,grid-v1-peer-targeted,openai,results/grid-v1-peer-targeted
