task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
rw_b_signature_drift,adaptive_lease,2,5,0.2,0.0,0.6,59.5,49.6,69.8,122259.0,108915.0,136883.0,0.015,0.0,0.03,0.0,0.0,0.0
rw_b_signature_drift,ast_dep,2,5,0.0,0.0,0.0,69.1,57.2,88.3,124759.0,94678.0,163231.0,0.012,0.0,0.036,0.0,0.0,0.0
rw_b_signature_drift,ast_scope,2,5,0.4,0.0,0.8,79.7,53.5,113.7,141028.0,95570.0,184543.0,0.031,0.009,0.054,0.0,0.0,0.0
rw_b_signature_drift,file_lock,2,5,1.0,1.0,1.0,157.6,75.4,299.9,136094.0,95580.0,191766.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_b_signature_drift,git_hash,2,5,0.8,0.4,1.0,75.7,56.1,89.5,125711.0,88111.0,167500.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_b_signature_drift,naive,2,5,0.8,0.4,1.0,87.4,73.3,101.0,158964.0,110191.0,212050.0,0.009,0.0,0.026,0.0,0.0,0.0
rw_b_signature_drift,notify,2,5,1.0,1.0,1.0,52.7,45.6,62.6,119570.0,93312.0,155662.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_b_signature_drift,peer_broker,2,5,0.4,0.0,0.8,67.6,61.3,76.6,156206.0,137563.0,175190.0,0.024,0.0,0.059,0.0,0.0,0.0
rw_b_signature_drift,peer_contract,2,5,1.0,1.0,1.0,87.0,57.6,112.7,191927.0,133136.0,257536.0,0.032,0.007,0.058,0.6,0.0,1.8
rw_c_benign_overlap,adaptive_lease,2,5,1.0,1.0,1.0,19.1,17.2,20.5,39773.0,32036.0,47840.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,ast_dep,2,5,1.0,1.0,1.0,28.4,25.4,34.0,47115.0,42708.0,51521.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,ast_scope,2,5,1.0,1.0,1.0,29.4,25.8,33.0,50689.0,46515.0,54545.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,file_lock,2,5,1.0,1.0,1.0,69.0,32.8,137.8,56787.0,43032.0,79746.0,0.0,0.0,0.0,5.0,1.0,13.0
rw_c_benign_overlap,git_hash,2,5,1.0,1.0,1.0,25.7,23.2,29.0,42135.0,35929.0,46573.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,naive,2,5,1.0,1.0,1.0,27.6,25.7,29.0,45513.0,42189.0,49321.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,notify,2,5,1.0,1.0,1.0,36.2,34.2,38.2,50725.0,41971.0,58619.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,peer_broker,2,5,0.6,0.2,1.0,63.3,35.8,101.2,93820.0,63211.0,145165.0,0.009,0.0,0.028,1.0,1.0,1.0
rw_c_benign_overlap,peer_contract,2,5,1.0,1.0,1.0,23.4,20.7,26.6,55669.0,45400.0,63823.0,0.0,0.0,0.0,1.0,1.0,1.0
rw_d_tag_antidependency,adaptive_lease,2,5,0.4,0.0,0.8,48.4,41.7,57.0,73309.0,56677.0,96600.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,ast_dep,2,5,0.4,0.0,0.8,41.8,35.5,51.0,76176.0,60246.0,92789.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,ast_scope,2,5,0.0,0.0,0.0,35.6,30.9,39.9,66616.0,58385.0,74323.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,file_lock,2,5,1.0,1.0,1.0,89.7,43.0,150.4,82152.0,58057.0,113267.0,0.005,0.0,0.016,0.0,0.0,0.0
rw_d_tag_antidependency,git_hash,2,5,0.6,0.2,1.0,29.0,25.1,34.7,66888.0,60313.0,77914.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,naive,2,5,0.2,0.0,0.6,45.7,38.5,51.2,66644.0,45222.0,93776.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,notify,2,5,1.0,1.0,1.0,46.0,39.2,56.0,87757.0,72019.0,102157.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,peer_broker,2,5,0.6,0.2,1.0,50.8,37.6,67.5,100514.0,69097.0,143992.0,0.003,0.0,0.01,0.0,0.0,0.0
rw_d_tag_antidependency,peer_contract,2,5,0.8,0.4,1.0,31.1,25.8,36.6,60939.0,46560.0,73339.0,0.0,0.0,0.0,0.0,0.0,0.0
