strategy,n_agents,n_tasks,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
adaptive_lease,2,14,68,0.779,0.676,0.882,59.4,46.0,77.0,53981.0,45738.0,62443.0,0.024,0.011,0.041,0.0,0.0,0.0
adaptive_lease,3,1,5,0.6,0.2,1.0,125.7,117.0,134.6,328324.0,307976.0,351237.0,0.017,0.008,0.022,0.0,0.0,0.0
adaptive_lease,4,1,5,1.0,1.0,1.0,53.8,47.7,59.5,142897.0,129783.0,159100.0,0.021,0.005,0.037,0.0,0.0,0.0
ast_dep,2,14,70,0.643,0.529,0.757,87.4,55.9,126.9,48557.0,39074.0,58922.0,0.023,0.008,0.04,0.0,0.0,0.0
ast_dep,3,1,5,0.0,0.0,0.0,171.5,156.6,184.0,446977.0,377828.0,516116.0,0.02,0.004,0.038,0.0,0.0,0.0
ast_dep,4,1,5,0.6,0.2,1.0,109.5,78.2,143.1,156450.0,130676.0,181577.0,0.066,0.021,0.108,0.0,0.0,0.0
ast_scope,2,14,70,0.657,0.543,0.771,87.5,54.0,124.1,50279.0,41361.0,60734.0,0.025,0.009,0.043,0.0,0.0,0.0
ast_scope,3,1,5,0.0,0.0,0.0,160.9,116.5,210.4,459263.0,347545.0,566800.0,0.016,0.0,0.035,0.0,0.0,0.0
ast_scope,4,1,5,0.6,0.2,1.0,68.6,51.0,88.0,207996.0,151971.0,263393.0,0.045,0.026,0.066,0.0,0.0,0.0
file_lock,2,14,70,0.943,0.886,0.986,124.9,83.8,168.6,50506.0,41194.0,61090.0,0.008,0.0,0.017,0.757,0.171,1.657
file_lock,3,1,5,0.6,0.2,1.0,477.9,268.7,690.9,379415.0,288573.0,442031.0,0.005,0.0,0.015,0.0,0.0,0.0
file_lock,4,1,5,0.6,0.2,1.0,561.7,428.9,694.7,190090.0,167434.0,212669.0,0.0,0.0,0.0,0.0,0.0,0.0
git_hash,2,14,70,0.929,0.857,0.972,56.2,41.8,78.8,45120.0,37333.0,52934.0,0.033,0.018,0.049,0.0,0.0,0.0
git_hash,3,1,5,0.0,0.0,0.0,141.6,120.6,162.5,345894.0,248732.0,443349.0,0.0,0.0,0.0,0.0,0.0,0.0
git_hash,4,1,5,0.6,0.2,1.0,80.1,64.5,101.6,208294.0,145945.0,293768.0,0.023,0.01,0.035,0.0,0.0,0.0
naive,2,14,70,0.743,0.629,0.843,45.6,38.6,52.6,46588.0,37286.0,57211.0,0.008,0.003,0.014,0.0,0.0,0.0
naive,3,1,5,0.0,0.0,0.0,209.0,164.4,251.9,442463.0,365550.0,516538.0,0.004,0.0,0.012,0.0,0.0,0.0
naive,4,1,5,0.8,0.4,1.0,66.9,56.3,78.1,158724.0,126365.0,189413.0,0.016,0.003,0.03,0.0,0.0,0.0
notify,2,14,70,0.857,0.771,0.929,45.9,39.9,53.0,44459.0,38066.0,51917.0,0.004,0.001,0.008,0.0,0.0,0.0
notify,3,1,5,0.2,0.0,0.6,121.1,98.3,143.8,384949.0,352200.0,425036.0,0.01,0.003,0.016,0.0,0.0,0.0
notify,4,1,5,0.6,0.2,1.0,64.9,55.6,75.5,155749.0,150977.0,162293.0,0.019,0.006,0.033,0.0,0.0,0.0
peer_broker,2,14,70,0.714,0.6,0.814,64.7,54.6,74.9,60666.0,49437.0,73115.0,0.013,0.007,0.02,0.086,0.029,0.157
peer_broker,3,1,5,0.0,0.0,0.0,100.3,86.2,114.0,387362.0,338713.0,451594.0,0.009,0.0,0.02,0.0,0.0,0.0
peer_broker,4,1,5,0.2,0.0,0.6,93.8,70.4,121.9,224553.0,151159.0,324523.0,0.028,0.011,0.047,0.0,0.0,0.0
peer_contract,2,14,70,0.914,0.843,0.971,57.6,44.0,78.2,56504.0,46217.0,69449.0,0.02,0.012,0.029,0.114,0.043,0.243
peer_contract,3,1,5,0.0,0.0,0.0,140.3,116.8,162.0,493661.0,408435.0,603127.0,0.031,0.018,0.044,0.0,0.0,0.0
peer_contract,4,1,5,0.6,0.2,1.0,199.0,156.0,252.1,423018.0,316280.0,538715.0,0.129,0.094,0.165,0.0,0.0,0.0
