task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
rw_b_signature_drift,ast_dep,2,1,0.0,0.0,0.0,57.7,57.7,57.7,73999.0,73999.0,73999.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,ast_scope,2,1,0.0,0.0,0.0,38.0,38.0,38.0,77780.0,77780.0,77780.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,naive,2,1,0.0,0.0,0.0,31.3,31.3,31.3,67657.0,67657.0,67657.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,notify,2,1,1.0,1.0,1.0,32.8,32.8,32.8,59322.0,59322.0,59322.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,peer_broker,3,1,0.0,0.0,0.0,133.6,133.6,133.6,371065.0,371065.0,371065.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,adaptive_lease,2,2,1.0,1.0,1.0,41.7,39.2,44.2,38906.0,35372.0,42439.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,ast_dep,2,1,1.0,1.0,1.0,58.0,58.0,58.0,41837.0,41837.0,41837.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,ast_scope,2,2,1.0,1.0,1.0,58.6,46.9,70.3,33059.0,31796.0,34322.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,naive,2,1,1.0,1.0,1.0,54.0,54.0,54.0,34524.0,34524.0,34524.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,notify,2,2,1.0,1.0,1.0,58.9,53.2,64.6,38004.0,30490.0,45518.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,peer_broker,2,2,1.0,1.0,1.0,62.6,52.1,73.1,39260.0,36341.0,42180.0,0.026,0.0,0.052,0.0,0.0,0.0
t10_phantom_tool,peer_contract,2,1,1.0,1.0,1.0,72.9,72.9,72.9,86555.0,86555.0,86555.0,0.0,0.0,0.0,0.0,0.0,0.0
