task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
rw_b_signature_drift,ast_dep,2,1,29.0,29.0,28.0,11.0,8.0,8.0,0.0,4.0,7.0,2.0,0.0,2551.69
rw_d_tag_antidependency,ast_scope,2,1,25.0,25.0,24.0,12.0,3.0,3.0,0.0,3.0,2.0,2.0,0.0,3111.2
rw_d_tag_antidependency,naive,2,1,25.0,25.0,25.0,15.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,2706.28
rw_d_tag_antidependency,notify,2,1,23.0,23.0,22.0,12.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,2579.22
rw_e_cascade,peer_broker,3,1,81.0,85.0,81.0,43.0,14.0,14.0,0.0,10.0,30.0,7.0,0.0,4581.05
t10_phantom_tool,adaptive_lease,2,2,24.5,24.5,24.5,9.0,3.0,3.0,0.0,0.5,7.5,2.0,2.0,1585.09
t10_phantom_tool,ast_dep,2,1,30.0,30.0,30.0,17.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,1394.57
t10_phantom_tool,ast_scope,2,2,23.5,23.5,23.5,10.5,3.0,3.0,0.0,1.0,1.0,2.0,0.0,1406.26
t10_phantom_tool,naive,2,1,25.0,25.0,25.0,9.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,1380.96
t10_phantom_tool,notify,2,2,26.5,26.5,26.5,13.0,3.0,3.0,0.0,1.0,1.0,2.0,0.5,1427.12
t10_phantom_tool,peer_broker,2,2,26.0,27.5,26.0,11.0,3.5,3.0,0.5,1.5,13.0,2.0,0.0,1510.32
t10_phantom_tool,peer_contract,2,1,39.0,39.0,39.0,15.0,5.0,5.0,0.0,2.0,12.0,4.0,4.0,2219.36
