task,strategy,n_agents,trials,correct_rate,mean_wall_s,mean_tokens,mean_usd,wasted_rate,stalls_per_trial,fp_stalls_per_trial,notifies_per_trial,mean_stall_wait_s
t1_stale_read,ast_dep,2,5,1.0,27.8,27383.0,0.0114,0.065,0.2,0.0,0.0,0.28
t1_stale_read,ast_scope,2,5,1.0,26.0,27349.0,0.012,0.069,0.2,0.0,0.0,0.72
t1_stale_read,file_lock,2,5,1.0,30.4,18201.0,0.0078,0.0,1.0,0.0,0.0,0.0
t1_stale_read,git_hash,2,5,0.8,28.8,31803.0,0.0138,0.111,1.0,0.0,0.0,0.0
t1_stale_read,naive,2,5,1.0,33.3,27106.0,0.0118,0.069,0.0,0.0,0.0,0.0
t1_stale_read,notify,2,5,1.0,27.8,26597.0,0.0114,0.069,0.0,0.0,1.2,0.0
t2_benign_overlap,ast_dep,2,5,1.0,17.0,14029.0,0.0068,0.018,0.0,0.0,0.0,0.03
t2_benign_overlap,ast_scope,2,5,1.0,17.3,13671.0,0.0062,0.019,0.0,0.0,0.0,0.05
t2_benign_overlap,file_lock,2,5,1.0,26.3,13076.0,0.0062,0.0,1.0,1.0,0.0,0.0
t2_benign_overlap,git_hash,2,5,1.0,16.5,13340.0,0.0064,0.0,0.0,0.0,0.0,0.0
t2_benign_overlap,naive,2,5,1.0,21.7,17353.0,0.008,0.055,0.0,0.0,0.0,0.0
t2_benign_overlap,notify,2,5,1.0,21.0,18280.0,0.0085,0.02,0.0,0.0,1.6,0.0
t3_ww_clobber,ast_dep,2,5,1.0,26.9,17832.0,0.0087,0.101,0.0,0.0,0.0,0.0
t3_ww_clobber,ast_scope,2,5,1.0,31.4,18780.0,0.0093,0.1,0.0,0.0,0.0,0.01
t3_ww_clobber,file_lock,2,5,0.8,74.2,16776.0,0.0073,0.0,6.2,0.0,0.0,0.0
t3_ww_clobber,git_hash,2,5,1.0,31.4,19310.0,0.0096,0.121,1.0,0.0,0.0,0.0
t3_ww_clobber,naive,2,5,1.0,32.3,17802.0,0.0094,0.119,0.0,0.0,0.0,0.0
t3_ww_clobber,notify,2,4,1.0,25.4,16573.0,0.0083,0.106,0.0,0.0,1.0,0.0
t4_cascade,ast_dep,2,5,0.0,47.0,64575.0,0.0231,0.0,0.6,0.0,0.0,2.58
t4_cascade,ast_dep,4,5,0.6,109.5,156450.0,0.0557,0.066,4.2,0.0,0.0,85.96
t4_cascade,ast_scope,2,5,0.0,63.4,87126.0,0.0297,0.022,0.8,0.0,0.0,24.02
t4_cascade,ast_scope,4,5,0.6,68.6,207996.0,0.0709,0.045,1.6,0.0,0.0,6.25
t4_cascade,file_lock,2,5,0.0,127.6,72554.0,0.0237,0.0,9.8,0.0,0.0,0.0
t4_cascade,file_lock,4,5,0.6,561.7,190090.0,0.0576,0.0,85.0,0.0,0.0,0.0
t4_cascade,git_hash,2,5,0.0,37.8,53969.0,0.0191,0.0,0.0,0.0,0.0,0.0
t4_cascade,git_hash,4,5,0.6,80.1,208294.0,0.0772,0.023,1.6,0.0,0.0,0.0
t4_cascade,naive,2,5,0.0,62.2,70948.0,0.0264,0.008,0.0,0.0,0.0,0.0
t4_cascade,naive,4,5,0.8,66.9,158724.0,0.0573,0.016,0.0,0.0,0.0,0.0
t4_cascade,notify,2,5,0.0,40.4,64831.0,0.0225,0.0,0.0,0.0,2.4,0.0
t4_cascade,notify,4,5,0.6,64.9,155749.0,0.0574,0.019,0.0,0.0,15.6,0.0
t5_cross_file,ast_dep,2,5,1.0,377.5,100005.0,0.042,0.027,2.2,0.0,0.0,61.12
t5_cross_file,ast_scope,2,5,1.0,79.6,87687.0,0.0391,0.067,1.0,0.0,0.0,0.01
t5_cross_file,file_lock,2,5,0.8,363.3,48638.0,0.0153,0.0,31.8,0.0,0.0,0.0
t5_cross_file,git_hash,2,5,1.0,199.0,64057.0,0.0272,0.008,0.2,0.0,0.0,0.0
t5_cross_file,naive,2,5,1.0,94.7,79192.0,0.0341,0.005,0.0,0.0,0.0,0.0
t5_cross_file,notify,2,5,0.8,47.0,46030.0,0.0186,0.0,0.0,0.0,2.6,0.0
t6_feature_pair,ast_dep,2,5,1.0,81.4,78770.0,0.0339,0.032,0.0,0.0,0.0,0.03
t6_feature_pair,ast_scope,2,5,1.0,67.6,73805.0,0.0313,0.024,0.0,0.0,0.0,0.01
t6_feature_pair,file_lock,2,5,1.0,122.1,80743.0,0.0337,0.0,3.6,0.0,0.0,0.0
t6_feature_pair,git_hash,2,5,1.0,81.4,88830.0,0.0356,0.047,0.8,0.0,0.0,0.0
t6_feature_pair,naive,2,5,1.0,83.1,87112.0,0.0364,0.039,0.0,0.0,0.0,0.0
t6_feature_pair,notify,2,3,1.0,77.4,66551.0,0.0305,0.03,0.0,0.0,3.0,0.0
