task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
rw_b_signature_drift,ast_dep,2,5,0.0,0.0,0.0,69.1,57.2,88.3,124759.0,94678.0,163231.0,0.012,0.0,0.036,0.0,0.0,0.0
rw_b_signature_drift,ast_scope,2,5,0.4,0.0,0.8,79.7,53.5,113.7,141028.0,95570.0,184543.0,0.031,0.009,0.054,0.0,0.0,0.0
rw_b_signature_drift,file_lock,2,5,1.0,1.0,1.0,157.6,75.4,299.9,136094.0,95580.0,191766.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_b_signature_drift,git_hash,2,5,0.8,0.4,1.0,75.7,56.1,89.5,125711.0,88111.0,167500.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_b_signature_drift,naive,2,5,0.8,0.4,1.0,87.4,73.3,101.0,158964.0,110191.0,212050.0,0.009,0.0,0.026,0.0,0.0,0.0
rw_b_signature_drift,notify,2,5,1.0,1.0,1.0,52.7,45.6,62.6,119570.0,93312.0,155662.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,ast_dep,2,5,1.0,1.0,1.0,28.4,25.4,34.0,47115.0,42708.0,51521.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,ast_scope,2,5,1.0,1.0,1.0,29.4,25.8,33.0,50689.0,46515.0,54545.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,file_lock,2,5,1.0,1.0,1.0,69.0,32.8,137.8,56787.0,43032.0,79746.0,0.0,0.0,0.0,5.0,1.0,13.0
rw_c_benign_overlap,git_hash,2,5,1.0,1.0,1.0,25.7,23.2,29.0,42135.0,35929.0,46573.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,naive,2,5,1.0,1.0,1.0,27.6,25.7,29.0,45513.0,42189.0,49321.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_c_benign_overlap,notify,2,5,1.0,1.0,1.0,36.2,34.2,38.2,50725.0,41971.0,58619.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,ast_dep,2,5,0.4,0.0,0.8,41.8,35.5,51.0,76176.0,60246.0,92789.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,ast_scope,2,5,0.0,0.0,0.0,35.6,30.9,39.9,66616.0,58385.0,74323.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,file_lock,2,5,1.0,1.0,1.0,89.7,43.0,150.4,82152.0,58057.0,113267.0,0.005,0.0,0.016,0.0,0.0,0.0
rw_d_tag_antidependency,git_hash,2,5,0.6,0.2,1.0,29.0,25.1,34.7,66888.0,60313.0,77914.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,naive,2,5,0.2,0.0,0.6,45.7,38.5,51.2,66644.0,45222.0,93776.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_d_tag_antidependency,notify,2,5,1.0,1.0,1.0,46.0,39.2,56.0,87757.0,72019.0,102157.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,ast_dep,3,5,0.0,0.0,0.0,171.5,156.4,184.0,446977.0,377489.0,516116.0,0.02,0.004,0.038,0.0,0.0,0.0
rw_e_cascade,ast_scope,3,5,0.0,0.0,0.0,160.9,116.5,210.4,459263.0,339242.0,575161.0,0.016,0.0,0.035,0.0,0.0,0.0
rw_e_cascade,file_lock,3,5,0.6,0.2,1.0,477.9,277.3,683.2,379415.0,293692.0,442031.0,0.005,0.0,0.015,0.0,0.0,0.0
rw_e_cascade,git_hash,3,5,0.0,0.0,0.0,141.6,120.6,161.4,345894.0,246053.0,443358.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_e_cascade,naive,3,5,0.0,0.0,0.0,209.0,162.6,250.1,442463.0,375665.0,516538.0,0.004,0.0,0.012,0.0,0.0,0.0
rw_e_cascade,notify,3,5,0.2,0.0,0.6,121.1,98.3,143.8,384949.0,352185.0,419161.0,0.01,0.003,0.016,0.0,0.0,0.0
t01_stale_clobber,ast_dep,2,5,0.0,0.0,0.0,14.9,13.6,16.1,10197.0,10105.0,10296.0,0.0,0.0,0.0,0.0,0.0,0.0
t01_stale_clobber,ast_scope,2,5,0.0,0.0,0.0,14.8,14.3,15.3,10362.0,10266.0,10505.0,0.0,0.0,0.0,0.0,0.0,0.0
t01_stale_clobber,file_lock,2,5,1.0,1.0,1.0,24.8,23.1,27.0,10664.0,10478.0,10872.0,0.0,0.0,0.0,0.0,0.0,0.0
t01_stale_clobber,git_hash,2,5,1.0,1.0,1.0,32.5,26.5,41.1,22737.0,18073.0,28990.0,0.176,0.12,0.248,0.0,0.0,0.0
t01_stale_clobber,naive,2,5,0.0,0.0,0.0,13.8,12.8,14.8,10716.0,10218.0,11603.0,0.0,0.0,0.0,0.0,0.0,0.0
t01_stale_clobber,notify,2,5,0.4,0.0,0.8,24.8,17.9,34.8,18950.0,12669.0,27293.0,0.0,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,ast_dep,2,5,1.0,1.0,1.0,17.0,14.2,20.6,14029.0,11850.0,17063.0,0.018,0.0,0.055,0.0,0.0,0.0
t02_benign_overlap,ast_scope,2,5,1.0,1.0,1.0,17.3,15.4,19.5,13671.0,11871.0,15856.0,0.019,0.0,0.057,0.0,0.0,0.0
t02_benign_overlap,file_lock,2,5,1.0,1.0,1.0,26.3,25.0,27.7,13076.0,12757.0,13395.0,0.0,0.0,0.0,1.0,1.0,1.0
t02_benign_overlap,git_hash,2,5,1.0,1.0,1.0,16.5,14.2,18.9,13340.0,11938.0,14746.0,0.0,0.0,0.0,0.0,0.0,0.0
t02_benign_overlap,naive,2,5,1.0,1.0,1.0,21.7,18.7,24.2,17353.0,14596.0,19740.0,0.055,0.017,0.093,0.0,0.0,0.0
t02_benign_overlap,notify,2,5,1.0,1.0,1.0,21.0,16.9,27.4,18280.0,16529.0,20062.0,0.02,0.0,0.059,0.0,0.0,0.0
t03_fetch_clobber,ast_dep,2,5,0.0,0.0,0.0,18.2,16.1,21.0,11515.0,10511.0,12910.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,ast_scope,2,5,0.0,0.0,0.0,19.0,17.4,20.6,11874.0,11018.0,12766.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,file_lock,2,5,1.0,1.0,1.0,28.6,27.5,30.0,12462.0,11466.0,13876.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,git_hash,2,5,1.0,1.0,1.0,44.4,40.3,49.6,23217.0,20820.0,25522.0,0.175,0.127,0.228,0.0,0.0,0.0
t03_fetch_clobber,naive,2,5,0.0,0.0,0.0,18.7,16.7,21.1,12126.0,10755.0,13415.0,0.0,0.0,0.0,0.0,0.0,0.0
t03_fetch_clobber,notify,2,5,0.0,0.0,0.0,31.5,23.5,39.5,18864.0,14315.0,25457.0,0.0,0.0,0.0,0.0,0.0,0.0
t04_cascade,ast_dep,4,5,0.6,0.2,1.0,109.5,78.2,143.6,156450.0,131539.0,182223.0,0.066,0.025,0.108,0.0,0.0,0.0
t04_cascade,ast_scope,4,5,0.6,0.2,1.0,68.6,51.0,88.0,207996.0,151971.0,263377.0,0.045,0.027,0.067,0.0,0.0,0.0
t04_cascade,file_lock,4,5,0.6,0.2,1.0,561.7,447.8,692.5,190090.0,164508.0,212743.0,0.0,0.0,0.0,0.0,0.0,0.0
t04_cascade,git_hash,4,5,0.6,0.2,1.0,80.1,64.5,101.6,208294.0,143922.0,287125.0,0.023,0.011,0.035,0.0,0.0,0.0
t04_cascade,naive,4,5,0.8,0.4,1.0,66.9,57.5,78.1,158724.0,126555.0,189413.0,0.016,0.003,0.03,0.0,0.0,0.0
t04_cascade,notify,4,5,0.6,0.2,1.0,64.9,54.4,75.8,155749.0,150975.0,162293.0,0.019,0.006,0.033,0.0,0.0,0.0
t05_cross_file,ast_dep,2,5,1.0,1.0,1.0,377.5,146.3,595.1,100005.0,51324.0,174870.0,0.027,0.0,0.08,0.0,0.0,0.0
t05_cross_file,ast_scope,2,5,1.0,1.0,1.0,79.6,58.1,106.5,87687.0,70531.0,104842.0,0.067,0.049,0.083,0.0,0.0,0.0
t05_cross_file,file_lock,2,5,0.8,0.4,1.0,363.3,105.0,652.9,63882.0,37558.0,89518.0,0.0,0.0,0.0,0.0,0.0,0.0
t05_cross_file,git_hash,2,5,1.0,1.0,1.0,199.0,56.5,460.1,64057.0,52354.0,77787.0,0.008,0.0,0.024,0.0,0.0,0.0
t05_cross_file,naive,2,5,1.0,1.0,1.0,94.7,80.1,109.4,79192.0,68164.0,95616.0,0.005,0.0,0.015,0.0,0.0,0.0
t05_cross_file,notify,2,5,0.8,0.4,1.0,47.0,36.6,55.7,46030.0,37273.0,54277.0,0.0,0.0,0.0,0.0,0.0,0.0
t06_feature_pair,ast_dep,2,5,1.0,1.0,1.0,81.4,68.4,94.5,78770.0,62642.0,97116.0,0.032,0.006,0.062,0.0,0.0,0.0
t06_feature_pair,ast_scope,2,5,1.0,1.0,1.0,67.6,56.8,80.8,73805.0,61768.0,88845.0,0.024,0.008,0.042,0.0,0.0,0.0
t06_feature_pair,file_lock,2,5,1.0,1.0,1.0,122.1,109.9,134.3,80743.0,65554.0,92501.0,0.0,0.0,0.0,0.0,0.0,0.0
t06_feature_pair,git_hash,2,5,1.0,1.0,1.0,81.4,65.5,97.3,88830.0,71677.0,103225.0,0.047,0.019,0.075,0.0,0.0,0.0
t06_feature_pair,naive,2,5,1.0,1.0,1.0,83.1,69.6,94.9,87112.0,81397.0,95685.0,0.039,0.032,0.047,0.0,0.0,0.0
t06_feature_pair,notify,2,5,1.0,1.0,1.0,75.5,66.6,86.0,66017.0,60996.0,71038.0,0.041,0.02,0.057,0.0,0.0,0.0
t07_rw_canary,ast_dep,2,5,1.0,1.0,1.0,69.1,37.2,107.2,30077.0,21413.0,42570.0,0.0,0.0,0.0,0.0,0.0,0.0
t07_rw_canary,ast_scope,2,5,1.0,1.0,1.0,137.6,101.1,181.8,48693.0,38909.0,61511.0,0.0,0.0,0.0,0.0,0.0,0.0
t07_rw_canary,file_lock,2,5,1.0,1.0,1.0,162.5,70.7,254.3,51208.0,32626.0,71771.0,0.0,0.0,0.0,0.0,0.0,0.0
t07_rw_canary,git_hash,2,5,1.0,1.0,1.0,80.1,49.0,106.4,46634.0,28991.0,64003.0,0.0,0.0,0.0,0.0,0.0,0.0
t07_rw_canary,naive,2,5,0.8,0.4,1.0,69.8,54.1,86.4,32643.0,28297.0,36791.0,0.0,0.0,0.0,0.0,0.0,0.0
t07_rw_canary,notify,2,5,1.0,1.0,1.0,118.1,95.5,149.6,44807.0,31132.0,61062.0,0.0,0.0,0.0,0.0,0.0,0.0
t08_livelock,ast_dep,2,5,0.2,0.0,0.6,349.3,130.5,627.2,75485.0,36575.0,114396.0,0.223,0.108,0.298,0.0,0.0,0.0
t08_livelock,ast_scope,2,5,0.4,0.0,0.8,474.7,213.9,742.3,81750.0,36784.0,126715.0,0.199,0.053,0.339,0.0,0.0,0.0
t08_livelock,file_lock,2,5,0.4,0.0,0.8,439.2,129.9,748.4,69379.0,31557.0,105682.0,0.11,0.027,0.2,0.0,0.0,0.0
t08_livelock,git_hash,2,5,1.0,1.0,1.0,22.8,19.4,26.1,18721.0,16607.0,20856.0,0.06,0.024,0.102,0.0,0.0,0.0
t08_livelock,naive,2,5,1.0,1.0,1.0,19.8,18.7,20.9,16137.0,15523.0,16927.0,0.0,0.0,0.0,0.0,0.0,0.0
t08_livelock,notify,2,5,1.0,1.0,1.0,21.1,18.1,24.1,17917.0,17322.0,18603.0,0.0,0.0,0.0,0.0,0.0,0.0
t09_overhead,ast_dep,2,5,1.0,1.0,1.0,16.7,15.6,17.8,18553.0,16449.0,20657.0,0.0,0.0,0.0,0.0,0.0,0.0
t09_overhead,ast_scope,2,5,1.0,1.0,1.0,16.8,14.8,18.3,17878.0,16544.0,19085.0,0.0,0.0,0.0,0.0,0.0,0.0
t09_overhead,file_lock,2,5,1.0,1.0,1.0,53.2,21.5,88.7,19474.0,17227.0,21354.0,0.0,0.0,0.0,4.6,0.6,9.2
t09_overhead,git_hash,2,5,1.0,1.0,1.0,16.8,14.7,18.9,16897.0,15011.0,18783.0,0.0,0.0,0.0,0.0,0.0,0.0
t09_overhead,naive,2,5,1.0,1.0,1.0,16.3,14.0,18.1,17936.0,15485.0,20121.0,0.0,0.0,0.0,0.0,0.0,0.0
t09_overhead,notify,2,5,1.0,1.0,1.0,14.6,12.9,16.7,15981.0,14980.0,17473.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,ast_dep,2,5,1.0,1.0,1.0,37.4,34.1,41.5,36084.0,32774.0,38704.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,ast_scope,2,5,1.0,1.0,1.0,38.4,32.7,47.4,37309.0,32436.0,42182.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,file_lock,2,5,1.0,1.0,1.0,100.6,56.6,152.7,42356.0,37549.0,46339.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,git_hash,2,5,1.0,1.0,1.0,42.4,37.8,46.7,35194.0,32995.0,37133.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,naive,2,5,1.0,1.0,1.0,41.9,34.0,53.4,44847.0,33490.0,64873.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,notify,2,5,1.0,1.0,1.0,44.4,38.6,50.2,43624.0,41213.0,46314.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,ast_dep,2,5,0.4,0.0,0.8,54.5,49.7,59.3,29158.0,26030.0,33089.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,ast_scope,2,5,0.4,0.0,0.8,47.8,41.7,53.9,29884.0,25590.0,35867.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,file_lock,2,5,1.0,1.0,1.0,59.2,45.8,72.5,35900.0,27314.0,44498.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,git_hash,2,5,0.6,0.2,1.0,77.4,58.6,96.2,38968.0,29692.0,48154.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,naive,2,5,0.6,0.2,1.0,53.7,43.2,64.5,30159.0,26199.0,34505.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,notify,2,5,0.8,0.4,1.0,47.2,38.0,56.6,31606.0,27560.0,36718.0,0.0,0.0,0.0,0.0,0.0,0.0
t12_split_view,ast_dep,2,5,1.0,1.0,1.0,47.7,30.9,65.6,27881.0,19976.0,35866.0,0.007,0.0,0.021,0.0,0.0,0.0
t12_split_view,ast_scope,2,5,1.0,1.0,1.0,167.3,34.4,407.6,32661.0,21932.0,48518.0,0.004,0.0,0.013,0.0,0.0,0.0
t12_split_view,file_lock,2,5,1.0,1.0,1.0,52.3,43.9,59.6,32908.0,26074.0,40238.0,0.0,0.0,0.0,0.0,0.0,0.0
t12_split_view,git_hash,2,5,1.0,1.0,1.0,42.9,31.6,58.1,28345.0,22197.0,36642.0,0.0,0.0,0.0,0.0,0.0,0.0
t12_split_view,naive,2,5,1.0,1.0,1.0,43.3,34.4,54.4,32891.0,26317.0,43205.0,0.0,0.0,0.0,0.0,0.0,0.0
t12_split_view,notify,2,5,1.0,1.0,1.0,62.3,40.0,84.7,42302.0,31722.0,54213.0,0.0,0.0,0.0,0.0,0.0,0.0
