task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
rw_b_signature_drift,ast_dep,2,5,38.2,38.2,37.8,17.8,8.4,8.0,0.4,5.6,7.2,2.6,0.0,3195.74
rw_b_signature_drift,ast_scope,2,5,39.2,39.2,39.2,18.4,9.4,8.6,0.8,5.2,5.8,3.0,0.0,3451.84
rw_b_signature_drift,file_lock,2,5,41.8,41.8,41.4,22.0,6.8,6.8,0.0,5.6,9.8,2.6,0.0,3178.48
rw_b_signature_drift,git_hash,2,5,37.0,37.0,37.0,16.8,9.0,9.0,0.0,5.2,0.6,3.0,0.0,3293.16
rw_b_signature_drift,naive,2,5,41.8,41.8,41.0,17.0,8.6,8.2,0.4,7.4,0.0,4.4,0.0,3684.03
rw_b_signature_drift,notify,2,5,36.2,36.2,36.0,16.6,8.6,8.6,0.0,5.4,4.8,2.2,4.8,3242.38
rw_c_benign_overlap,ast_dep,2,5,19.6,19.6,19.6,10.0,3.0,3.0,0.0,1.8,1.4,2.0,0.0,2400.25
rw_c_benign_overlap,ast_scope,2,5,20.2,20.2,20.2,10.8,3.0,3.0,0.0,1.4,1.0,2.0,0.0,2506.35
rw_c_benign_overlap,file_lock,2,5,22.4,22.4,22.4,11.6,3.0,3.0,0.0,2.4,5.0,2.0,0.0,2494.94
rw_c_benign_overlap,git_hash,2,5,18.2,18.2,18.2,8.8,3.0,3.0,0.0,1.2,1.0,2.0,0.0,2303.8
rw_c_benign_overlap,naive,2,5,18.8,18.8,18.8,9.2,3.0,3.0,0.0,1.6,0.0,2.0,0.0,2416.87
rw_c_benign_overlap,notify,2,5,20.2,20.2,20.2,11.2,3.0,3.0,0.0,0.8,1.6,2.0,1.4,2487.72
rw_d_tag_antidependency,ast_dep,2,5,26.4,26.4,26.0,13.6,3.4,3.4,0.0,3.8,2.0,2.6,0.0,2841.52
rw_d_tag_antidependency,ast_scope,2,5,23.8,23.8,23.8,13.8,3.0,3.0,0.0,2.4,1.8,2.0,0.0,2790.46
rw_d_tag_antidependency,file_lock,2,5,29.0,29.0,28.8,17.8,3.2,3.0,0.2,2.8,6.6,2.0,0.0,2754.91
rw_d_tag_antidependency,git_hash,2,5,24.2,24.2,23.6,13.2,3.0,3.0,0.0,2.2,0.0,2.4,0.0,2753.85
rw_d_tag_antidependency,naive,2,5,23.6,23.6,23.6,12.6,3.4,3.4,0.0,2.2,0.0,2.4,0.0,2708.07
rw_d_tag_antidependency,notify,2,5,26.4,26.4,25.6,15.0,3.4,3.4,0.0,2.2,1.6,2.4,1.6,3293.44
rw_e_cascade,ast_dep,3,5,85.8,85.8,85.4,44.2,16.4,15.2,1.2,12.2,16.4,7.6,0.0,5177.85
rw_e_cascade,ast_scope,3,5,86.0,86.0,85.8,45.4,16.0,15.2,0.8,11.0,12.8,8.6,0.0,5226.97
rw_e_cascade,file_lock,3,5,96.2,96.2,96.0,65.6,9.8,9.4,0.4,9.8,61.6,4.2,0.0,3904.29
rw_e_cascade,git_hash,3,5,75.6,75.6,74.8,38.6,12.8,12.8,0.0,12.4,0.2,6.4,0.0,4458.04
rw_e_cascade,naive,3,5,84.4,84.4,84.4,44.0,15.2,15.0,0.2,11.6,0.0,9.0,0.0,5193.95
rw_e_cascade,notify,3,5,78.8,78.8,78.2,44.4,14.4,13.8,0.6,8.2,13.4,6.2,13.0,4874.0
t01_stale_clobber,ast_dep,2,5,8.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,1.6,2.0,0.0,1274.65
t01_stale_clobber,ast_scope,2,5,8.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,1.6,2.0,0.0,1295.2
t01_stale_clobber,file_lock,2,5,8.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1332.98
