task,failure_mode,benign,strategy,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,total_tokens,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,read_set_visibility,agents_done,agents_errored,log
t01_stale_read,stale_read_lost_update,False,ast_scope,2,0,scripted-edit,True,6,6,0.64,2500,0,0.0,1,0,0,0,0.296,2,1.0,2,0,t01_stale_read__ast_scope-n2-r0.jsonl
t01_stale_read,stale_read_lost_update,False,file_lock,2,0,scripted-edit,True,6,6,0.99,2500,0,0.0,1,0,0,0,0.0,2,1.0,2,0,t01_stale_read__file_lock-n2-r0.jsonl
t01_stale_read,stale_read_lost_update,False,git_hash,2,0,scripted-edit,True,6,6,3.93,2500,0,0.0,0,0,0,0,0.0,2,1.0,2,0,t01_stale_read__git_hash-n2-r0.jsonl
t01_stale_read,stale_read_lost_update,False,naive,2,0,scripted-edit,True,6,6,0.42,2500,0,0.0,0,0,0,0,0.0,2,1.0,2,0,t01_stale_read__naive-n2-r0.jsonl
t01_stale_read,stale_read_lost_update,False,notify,2,0,scripted-edit,True,6,6,0.82,2500,0,0.0,0,0,4,0,0.0,2,1.0,2,0,t01_stale_read__notify-n2-r0.jsonl
t02_benign_overlap,benign_overlap_false_positive,True,ast_scope,2,0,scripted-edit,True,6,6,0.0,1500,0,0.0,0,0,0,0,0.002,2,1.0,2,0,t02_benign_overlap__ast_scope-n2-r0.jsonl
t02_benign_overlap,benign_overlap_false_positive,True,file_lock,2,0,scripted-edit,True,6,6,0.0,1500,0,0.0,1,1,0,0,0.0,2,1.0,2,0,t02_benign_overlap__file_lock-n2-r0.jsonl
t02_benign_overlap,benign_overlap_false_positive,True,git_hash,2,0,scripted-edit,True,6,6,1.16,1500,0,0.0,0,0,0,0,0.0,2,1.0,2,0,t02_benign_overlap__git_hash-n2-r0.jsonl
t02_benign_overlap,benign_overlap_false_positive,True,naive,2,0,scripted-edit,True,6,6,0.0,1500,0,0.0,0,0,0,0,0.0,2,1.0,2,0,t02_benign_overlap__naive-n2-r0.jsonl
t02_benign_overlap,benign_overlap_false_positive,True,notify,2,0,scripted-edit,True,6,6,0.0,1500,0,0.0,0,0,2,2,0.0,2,1.0,2,0,t02_benign_overlap__notify-n2-r0.jsonl
t01_stale_read,stale_read_lost_update,False,git_hash,2,0,scripted-clobber,True,6,6,0.94,1500,0,0.0,0,0,0,0,0.0,2,1.0,2,0,t01_stale_read__git_hash-n2-r0.jsonl
t01_stale_read,stale_read_lost_update,False,naive,2,0,scripted-clobber,False,3,6,0.0,1500,0,0.0,0,0,0,0,0.0,2,1.0,2,0,t01_stale_read__naive-n2-r0.jsonl
